time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2006-06-13 00:00:00+00,LONG,1303,1.0,-0.13400534,-0.07240394
2006-06-13 00:00:00+00,LONG,1462,0.17414144502447965,-0.14270833,-0.06826673
2006-06-13 00:00:00+00,LONG,3703,1.0,-0.16892597,-0.06235294
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,-0.14488548,-0.07437738
2006-06-13 00:00:00+00,LONG,3994,1.0,-0.15857461,-0.08699855
2006-06-13 00:00:00+00,LONG,4000,0.0,-0.108000964,-0.08381229
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,-0.15597668,-0.079003185
2006-06-13 00:00:00+00,LONG,4062,0.0,-0.1602285,-0.07850746
2006-06-14 00:00:00+00,LONG,498,0.0,-0.15558004,-0.06338097
2006-06-14 00:00:00+00,LONG,540,0.5997554513095575,-0.11551513,-0.07196424
2006-06-14 00:00:00+00,LONG,874,0.0,-0.17107242,-0.089774765
2006-06-14 00:00:00+00,LONG,2990,1.0,-0.13141367,-0.076821566
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,-0.1513526,-0.05222043
2006-06-14 00:00:00+00,LONG,1112,1.0,-0.12533507,-0.050208297
2006-06-14 00:00:00+00,LONG,3241,0.6112698445642428,-0.118560106,-0.06514886
2006-06-14 00:00:00+00,LONG,3343,0.9545454545454546,-0.11759902,-0.05385289
2006-06-14 00:00:00+00,LONG,3466,0.3703353335645829,-0.15955223,-0.06941001
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,-0.15807799,-0.0774338
2006-06-14 00:00:00+00,LONG,3573,0.0,-0.18101329,-0.051282052
2006-06-14 00:00:00+00,LONG,1532,0.0,-0.11277202,-0.074552536
2006-06-14 00:00:00+00,LONG,1673,1.0,-0.15632755,-0.055555556
2006-06-14 00:00:00+00,LONG,3855,0.28094255443322025,-0.12125327,-0.06666667
2006-06-14 00:00:00+00,LONG,1807,0.38334908798588535,-0.1088968,-0.07464893
2006-06-14 00:00:00+00,LONG,1817,0.7733521746583988,-0.15121059,-0.06656619
2006-06-14 00:00:00+00,LONG,1939,0.8848122244096743,-0.11357578,-0.07548552
2006-06-14 00:00:00+00,LONG,3994,0.9545454545454546,-0.12000905,-0.07644825
2006-06-14 00:00:00+00,LONG,1967,0.6457976428980368,-0.12324378,-0.052224886
2006-06-15 00:00:00+00,LONG,19,0.9047619047619048,-0.16034986,-0.05645161
2006-06-15 00:00:00+00,LONG,2272,0.0,-0.13346419,-0.067827925
2006-06-15 00:00:00+00,LONG,3352,0.9130434782608696,-0.15106118,-0.06077348
2006-06-16 00:00:00+00,LONG,2272,0.0,-0.12770186,-0.05770263
2006-06-16 00:00:00+00,LONG,3352,0.8695652173913043,-0.12076012,-0.059310343
2006-06-19 00:00:00+00,LONG,2272,0.0,-0.13497087,-0.05111111
2006-06-20 00:00:00+00,LONG,2028,1.0,-0.1459752,-0.069905035
2006-06-22 00:00:00+00,LONG,1298,0.0,-0.109065644,-0.051405326
2006-07-05 00:00:00+00,LONG,2550,1.0,-0.12279032,-0.055423707
2006-07-18 00:00:00+00,LONG,234,1.0,-0.13545647,-0.077062555
2006-07-20 00:00:00+00,LONG,3699,0.6472556795067244,-0.16078985,-0.054054055
2006-07-21 00:00:00+00,LONG,135,1.0,-0.120190874,-0.09342348
2006-07-21 00:00:00+00,LONG,3853,1.0,-0.11037891,-0.060869563
2006-07-24 00:00:00+00,LONG,2305,0.9838709677419355,-0.13611172,-0.077633135
2006-07-26 00:00:00+00,LONG,64,1.0,-0.12381884,-0.053502288
2006-07-26 00:00:00+00,LONG,135,0.9090909090909091,-0.14941877,-0.08952959
2006-07-27 00:00:00+00,LONG,64,0.9583333333333334,-0.11589846,-0.05531763
2006-07-31 00:00:00+00,LONG,4171,0.5876363151027243,-0.13077132,-0.062948324
2006-07-31 00:00:00+00,LONG,1700,0.0,-0.11678289,-0.05190139
2006-08-01 00:00:00+00,LONG,2613,0.6666666666666667,-0.122742474,-0.060530085
2006-08-01 00:00:00+00,LONG,1063,0.5951208558426428,-0.121957466,-0.088321365
2006-08-01 00:00:00+00,LONG,1817,0.0,-0.11264182,-0.09072036
2006-08-01 00:00:00+00,LONG,4034,0.0700993211556687,-0.114410244,-0.08679775
2006-08-02 00:00:00+00,LONG,1063,0.5059774244659356,-0.11299946,-0.06089056
2006-08-02 00:00:00+00,LONG,3861,0.0,-0.13635254,-0.09048417
2006-08-02 00:00:00+00,LONG,4034,0.034698512246323476,-0.115395136,-0.09001406
2006-08-03 00:00:00+00,LONG,2613,0.6,-0.1112605,-0.058404557
2006-08-03 00:00:00+00,LONG,3861,0.0,-0.12794255,-0.056483496
2006-08-04 00:00:00+00,LONG,3861,0.0,-0.12402572,-0.0860212
2006-08-09 00:00:00+00,LONG,167,0.6829268292682926,-0.15511079,-0.05816733
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,-0.11323764,-0.05961945
2006-08-09 00:00:00+00,LONG,1176,0.0,-0.13155834,-0.052136753
2006-08-10 00:00:00+00,LONG,167,0.6585365853658536,-0.1279762,-0.08935509
2006-08-10 00:00:00+00,LONG,3677,1.0,-0.16973074,-0.07432712
2006-08-10 00:00:00+00,LONG,4034,1.0,-0.15771998,-0.06911315
2006-08-11 00:00:00+00,LONG,2518,1.0,-0.187,-0.082392775
2006-08-11 00:00:00+00,LONG,3677,0.9565217391304348,-0.1438891,-0.056786407
2006-08-11 00:00:00+00,LONG,1790,0.957345830002671,-0.18853147,-0.056278463
2006-08-11 00:00:00+00,LONG,4034,0.962962962962963,-0.12193008,-0.058258444
2006-08-14 00:00:00+00,LONG,2518,0.9642857142857143,-0.16464646,-0.06553672
2006-08-14 00:00:00+00,LONG,3862,0.9428571428571428,-0.14985052,-0.088176355
2006-08-15 00:00:00+00,LONG,3862,0.9142857142857143,-0.12631184,-0.059322033
2006-08-17 00:00:00+00,LONG,2816,0.0,-0.16340908,-0.078598246
2006-08-17 00:00:00+00,LONG,1939,1.0,-0.14258529,-0.09244196
2006-08-24 00:00:00+00,LONG,502,0.6363636363636364,-0.16668479,-0.054877296
2006-08-25 00:00:00+00,LONG,1939,0.9016393442622951,-0.15825227,-0.058510825
2006-08-28 00:00:00+00,LONG,1939,0.8852459016393442,-0.1714579,-0.0774507
2006-08-29 00:00:00+00,LONG,1939,0.47839302689364993,-0.13680582,-0.076920494
