time,side,ticker_id,mv_up_composite_labels,price_drift_1_df005,price_drift_21_df005,joint_fall_flag_5_10_df042
2008-02-08 00:00:00+00,LONG,2297,0.038844177921163646,0.014705882,-0.16126418,1.0
2008-02-08 00:00:00+00,LONG,712,0.25187106402781656,0.018761726,-0.15792194,1.0
2008-02-08 00:00:00+00,LONG,2896,0.6129032258064516,0.022385793,-0.12159211,1.0
2008-02-08 00:00:00+00,LONG,1012,0.9523809523809523,0.006604013,-0.14378308,1.0
2008-02-08 00:00:00+00,LONG,3573,0.7,0.0066283694,-0.12636626,1.0
2008-02-11 00:00:00+00,LONG,2107,0.0,0.024244437,-0.14594296,1.0
2008-02-11 00:00:00+00,LONG,4218,0.2117899772367338,0.007904676,-0.11743745,1.0
2008-02-11 00:00:00+00,LONG,517,0.19720003631505956,0.0068618357,-0.1518289,1.0
2008-02-11 00:00:00+00,LONG,2617,0.0,0.0044282777,-0.11803916,1.0
2008-02-11 00:00:00+00,LONG,708,0.0,0.009020618,-0.12448751,1.0
2008-02-11 00:00:00+00,LONG,870,0.675,0.004652881,-0.12077192,1.0
2008-02-11 00:00:00+00,LONG,1012,0.6541584518520482,0.014761544,-0.12480958,1.0
2008-02-11 00:00:00+00,LONG,1298,0.59375,0.0088461535,-0.12303577,1.0
2008-02-11 00:00:00+00,LONG,3744,0.0,0.015947467,-0.1336,1.0
2008-02-11 00:00:00+00,LONG,3882,0.96,0.0060741687,-0.15403226,1.0
2008-02-20 00:00:00+00,LONG,2546,0.0,0.015057573,-0.14028507,1.0
2008-03-07 00:00:00+00,LONG,4150,0.0,0.006729475,-0.11723053,1.0
2008-03-19 00:00:00+00,LONG,675,0.0,0.008780488,-0.15315315,1.0
2008-03-20 00:00:00+00,LONG,2248,0.9433962264150944,0.015662389,-0.13617021,1.0
2008-03-20 00:00:00+00,LONG,335,0.0,0.013108353,-0.15276968,1.0
2008-03-20 00:00:00+00,LONG,397,0.0,0.023088455,-0.11766227,1.0
2008-03-20 00:00:00+00,LONG,3137,0.0,0.011096434,-0.117592804,1.0
2008-03-20 00:00:00+00,LONG,1306,0.0,0.012658228,-0.117776796,1.0
2008-03-24 00:00:00+00,LONG,3456,0.9818181818181818,0.0058982973,-0.12451618,1.0
2008-03-26 00:00:00+00,LONG,498,0.896551724137931,0.0113303065,-0.11826801,1.0
2008-03-28 00:00:00+00,LONG,397,0.0,0.00679067,-0.11749482,1.0
2008-03-28 00:00:00+00,LONG,3994,0.8888888888888888,0.0060072085,-0.12626088,1.0
2008-03-31 00:00:00+00,LONG,411,0.0,0.012249898,-0.12299528,1.0
2008-03-31 00:00:00+00,LONG,433,0.2674811219319156,0.009452194,-0.1434807,1.0
2008-03-31 00:00:00+00,LONG,2983,0.7631578947368421,0.0068922304,-0.15108293,1.0
2008-03-31 00:00:00+00,LONG,1306,0.0,0.0061115357,-0.1392157,1.0
2008-03-31 00:00:00+00,LONG,1377,0.8085106382978724,0.023255814,-0.13595167,1.0
2008-04-01 00:00:00+00,LONG,2107,0.0,0.022719076,-0.1491149,1.0
2008-04-02 00:00:00+00,LONG,712,0.0,0.0090443175,-0.15072316,1.0
2008-04-08 00:00:00+00,LONG,2557,0.0,0.014121801,-0.14888889,1.0
2008-04-14 00:00:00+00,LONG,2504,0.9791666666666666,0.002548853,-0.12915128,1.0
2008-04-24 00:00:00+00,LONG,266,0.0,0.015482696,-0.1213554,1.0
2008-04-25 00:00:00+00,LONG,153,0.6932684790639096,0.012145749,-0.1394148,1.0
2008-05-16 00:00:00+00,LONG,3513,0.0,0.026191927,-0.14957532,1.0
2008-05-28 00:00:00+00,LONG,3513,0.0,0.009683579,-0.15597771,1.0
2008-06-19 00:00:00+00,LONG,2397,0.0,0.016904384,-0.123006836,1.0
2008-07-03 00:00:00+00,LONG,3825,0.0,0.002795248,-0.16130918,1.0
2008-07-03 00:00:00+00,LONG,1853,0.9393939393939394,0.0058139535,-0.14844559,1.0
2008-07-08 00:00:00+00,LONG,4136,0.0,0.01838338,-0.14214896,1.0
2008-07-10 00:00:00+00,LONG,2504,1.0,0.002422285,-0.12354395,1.0
2008-07-10 00:00:00+00,LONG,3287,0.0,0.0035285815,-0.15957446,1.0
2008-07-14 00:00:00+00,LONG,3744,0.0,0.0034458993,-0.1425206,1.0
2008-07-15 00:00:00+00,LONG,2370,0.0,0.008168028,-0.15127702,1.0
2008-07-15 00:00:00+00,LONG,370,0.0,0.008198222,-0.13822898,1.0
2008-07-15 00:00:00+00,LONG,842,1.0,0.006560962,-0.15317388,1.0
2008-07-15 00:00:00+00,LONG,2930,0.0,0.007280785,-0.13012575,1.0
2008-07-15 00:00:00+00,LONG,1306,0.0,0.022505626,-0.13597465,1.0
2008-07-15 00:00:00+00,LONG,3359,1.0,0.02342918,-0.14158106,1.0
2008-07-15 00:00:00+00,LONG,1684,1.0,0.005806281,-0.11700649,1.0
2008-07-15 00:00:00+00,LONG,3791,1.0,0.018263834,-0.15971242,1.0
2008-07-15 00:00:00+00,LONG,1767,0.8780487804878049,0.007575758,-0.15661111,1.0
2008-07-16 00:00:00+00,LONG,2370,0.8181818181818181,0.024305556,-0.13616398,1.0
2008-07-16 00:00:00+00,LONG,386,1.0,0.009189843,-0.12460667,1.0
2008-07-16 00:00:00+00,LONG,2640,0.0,0.014435222,-0.1193609,1.0
2008-07-16 00:00:00+00,LONG,2761,0.0,0.01537476,-0.14601293,1.0
2008-07-16 00:00:00+00,LONG,2930,0.0,0.0069138906,-0.12649946,1.0
2008-07-16 00:00:00+00,LONG,1250,0.9210526315789473,0.0119369365,-0.15449755,1.0
2008-07-18 00:00:00+00,LONG,959,0.0,0.0065055764,-0.1431962,1.0
