time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,sessions_since_bearish_13_100_df059
2005-07-08 00:00:00+00,LONG,1633,0.4151053356755801,-0.70906043,5.0
2005-07-11 00:00:00+00,LONG,2285,0.168292192445789,-0.6801419,5.0
2005-07-11 00:00:00+00,LONG,1633,0.35913138103841924,-0.5742771,6.0
2005-07-12 00:00:00+00,LONG,2285,0.14130554758072641,-0.65684205,6.0
2005-07-13 00:00:00+00,LONG,2285,0.1156830309725133,-0.7133449,7.0
2005-07-13 00:00:00+00,LONG,1633,0.2899917511888513,-0.4955708,8.0
2005-07-14 00:00:00+00,LONG,2285,0.08036128847128335,-0.6510153,8.0
2005-07-15 00:00:00+00,LONG,2285,0.05437414270529894,-0.6346995,9.0
2005-07-18 00:00:00+00,LONG,684,0.0,-0.7831657,1.0
2005-07-18 00:00:00+00,LONG,3773,0.0,-0.6495756,1.0
2005-07-19 00:00:00+00,LONG,684,0.0,-0.645608,2.0
2005-07-19 00:00:00+00,LONG,1356,1.0,-0.7962384,15.0
2005-07-19 00:00:00+00,LONG,3773,0.0,-0.627348,2.0
2005-07-20 00:00:00+00,LONG,684,0.0,-0.6425797,3.0
2005-07-20 00:00:00+00,LONG,1076,0.6675912828884248,-0.6706294,6.0
2005-07-20 00:00:00+00,LONG,1356,0.25919541521031614,-0.57066065,16.0
2005-07-20 00:00:00+00,LONG,3773,0.0,-0.55797875,3.0
2005-07-21 00:00:00+00,LONG,684,0.0,-0.70977986,4.0
2005-07-21 00:00:00+00,LONG,3773,0.0,-0.66198564,4.0
2005-07-22 00:00:00+00,LONG,684,0.0,-0.7430811,5.0
2005-07-22 00:00:00+00,LONG,3773,0.0,-0.66866004,5.0
2005-07-25 00:00:00+00,LONG,684,0.0,-0.78491014,6.0
2005-07-26 00:00:00+00,LONG,684,0.0,-0.78145146,7.0
2005-07-26 00:00:00+00,LONG,1076,0.9183673469387755,-0.481472,10.0
2005-07-26 00:00:00+00,LONG,1715,1.0,-0.516206,9.0
2005-07-27 00:00:00+00,LONG,684,0.0,-0.7523799,8.0
2005-07-27 00:00:00+00,LONG,1715,0.9814814814814815,-0.49092677,10.0
2005-07-28 00:00:00+00,LONG,2504,0.0,-0.69006824,4.0
2005-07-29 00:00:00+00,LONG,2504,0.0,-0.7331383,5.0
2005-08-01 00:00:00+00,LONG,2504,0.0,-0.6579938,6.0
2005-08-02 00:00:00+00,LONG,2504,0.0,-0.6117602,7.0
2005-08-02 00:00:00+00,LONG,4074,0.40427218606982884,-0.47826162,19.0
2005-08-03 00:00:00+00,LONG,2504,0.0,-0.61095566,8.0
2005-08-04 00:00:00+00,LONG,4074,0.40157420532249605,-0.46235874,21.0
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,-0.6901309,5.0
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,-0.6934744,6.0
2005-08-10 00:00:00+00,LONG,153,0.3411797439718479,-0.5934355,12.0
2005-08-11 00:00:00+00,LONG,153,0.2586749342657682,-0.5633674,13.0
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,-0.47616887,9.0
2005-08-12 00:00:00+00,LONG,3994,1.0,-0.6687507,10.0
2005-08-16 00:00:00+00,LONG,2095,0.4925805963678365,-0.6779107,27.0
2005-08-16 00:00:00+00,LONG,429,0.0,-0.47358856,20.0
2005-08-17 00:00:00+00,LONG,2979,0.8260869565217391,-0.4981932,1.0
2005-08-17 00:00:00+00,LONG,1160,0.0,-0.6323482,4.0
2005-08-23 00:00:00+00,LONG,2686,0.5088931011712192,-0.58764684,15.0
2005-08-23 00:00:00+00,LONG,1922,0.0,-0.54086584,6.0
2005-08-24 00:00:00+00,LONG,2686,0.5640362933405667,-0.6272668,16.0
2005-08-24 00:00:00+00,LONG,1922,0.0,-0.5495398,7.0
2005-08-25 00:00:00+00,LONG,2686,0.5882256135772875,-0.73929226,17.0
2005-08-25 00:00:00+00,LONG,1356,0.0,-0.70210445,3.0
2005-08-26 00:00:00+00,LONG,2686,0.6129032258064516,-0.7099828,18.0
