time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_rev_growth_zscore_universe_df073,earnings_drift_10_df011,joint_fall_flag_5_5_df042
2006-03-22 00:00:00+00,SHORT,1303,0.7930369898173947,0.015038253,-0.0865,0.0,0.0
2006-03-23 00:00:00+00,SHORT,1303,0.6542338901943808,-0.0045616245,-0.087,0.0,0.0
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,0.008334884,-0.1011,0.0,0.0
2006-03-28 00:00:00+00,SHORT,1444,0.6967554590503519,0.002931624,-0.0898,0.0,0.0
2006-03-28 00:00:00+00,SHORT,1867,0.40998344479081994,0.0024020171,-0.0851,0.0,0.0
2006-04-06 00:00:00+00,SHORT,2747,0.5788794879207096,-0.0013955587,-0.0808,0.0,0.0
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.0068911784,-0.0778,0.0,0.0
2006-04-19 00:00:00+00,SHORT,153,1.0,0.005932644,-0.0971,0.0,0.0
2006-04-19 00:00:00+00,SHORT,2690,0.45640811050335295,0.016193537,-0.0769,0.0,0.0
2006-04-19 00:00:00+00,SHORT,1807,1.0,0.016353754,-0.0785,0.0,0.0
2006-04-21 00:00:00+00,SHORT,897,1.0,0.003343661,-0.0837,0.0,0.0
2006-04-21 00:00:00+00,SHORT,1770,0.41293632104545425,0.015447083,-0.0829,0.0,0.0
2006-04-24 00:00:00+00,SHORT,487,0.6145385765254086,0.001236682,-0.0834,0.0,0.0
2006-04-25 00:00:00+00,SHORT,2640,1.0,-0.0034664671,-0.1106,0.0,0.0
2006-04-25 00:00:00+00,SHORT,3535,0.38328196761054756,0.02090775,-0.1191,0.0,0.0
2006-04-26 00:00:00+00,SHORT,845,0.0,-0.0020058434,-0.0819,0.0,0.0
2006-04-26 00:00:00+00,SHORT,4062,1.0,-0.0012638476,-0.1191,0.0,0.0
2006-05-04 00:00:00+00,SHORT,2032,0.6816475779844293,0.003375037,-0.1139,0.0,0.0
2006-05-05 00:00:00+00,SHORT,1410,0.523405006846559,0.00538434,-0.076,0.0,0.0
2006-05-08 00:00:00+00,SHORT,4176,0.0,-0.0045911786,-0.0798,0.031011969,0.0
2006-05-08 00:00:00+00,SHORT,2261,0.8571428571428572,-0.0041664476,-0.0808,0.0,0.0
2006-05-08 00:00:00+00,SHORT,3436,0.5411228636121768,0.005000928,-0.0875,0.0,0.0
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,-1.8482757E-4,-0.0756,0.0,0.0
2006-05-08 00:00:00+00,SHORT,1719,0.9166666666666666,0.0040709144,-0.0909,-0.009868421,0.0
2006-05-08 00:00:00+00,SHORT,1869,0.7804989598171265,0.0023414,-0.0895,0.0,0.0
2006-05-08 00:00:00+00,SHORT,2041,1.0,0.017498454,-0.0776,0.11711719,0.0
2006-05-09 00:00:00+00,SHORT,9,0.5372456087633902,0.0026635365,-0.0767,0.031693712,0.0
2006-05-09 00:00:00+00,SHORT,4107,0.8005213825549394,-0.005007733,-0.0815,0.0,0.0
2006-05-09 00:00:00+00,SHORT,4118,1.0,-0.0019718555,-0.086,0.04715248,0.0
2006-05-09 00:00:00+00,SHORT,2291,1.0,-0.0012218672,-0.0772,0.0,0.0
2006-05-09 00:00:00+00,SHORT,2440,0.5139530305523916,-7.595301E-5,-0.0754,0.0,0.0
2006-05-09 00:00:00+00,SHORT,838,1.0,-0.003534333,-0.088,0.0,0.0
2006-05-09 00:00:00+00,SHORT,857,0.2803831357094409,6.8821176E-4,-0.0782,0.029457364,0.0
2006-05-09 00:00:00+00,SHORT,3436,0.42630403708326775,-0.0018750916,-0.0873,0.0,0.0
2006-05-09 00:00:00+00,SHORT,1410,0.35443269015900913,-1.8572365E-4,-0.0761,0.0,0.0
2006-05-09 00:00:00+00,SHORT,1454,1.0,0.004788041,-0.0814,0.11949773,0.0
2006-05-09 00:00:00+00,SHORT,1462,0.7810497531165805,0.019445976,-0.081,0.0,0.0
2006-05-09 00:00:00+00,SHORT,1869,0.6824394182282987,-0.0046902415,-0.0893,0.0,0.0
2006-05-09 00:00:00+00,SHORT,3918,1.0,0.005373731,-0.0864,0.0,0.0
2006-05-09 00:00:00+00,SHORT,1919,1.0,0.0041282615,-0.0901,0.0,0.0
2006-05-09 00:00:00+00,SHORT,2041,0.8333333333333334,0.005183235,-0.0781,0.12710826,0.0
2006-05-10 00:00:00+00,SHORT,9,0.48622199392805193,-0.004459047,-0.0768,0.028904665,0.0
2006-05-10 00:00:00+00,SHORT,424,0.3338945842188645,0.0010564387,-0.0909,0.072859615,0.0
2006-05-10 00:00:00+00,SHORT,487,1.0,-0.0033893788,-0.0831,0.0,0.0
2006-05-10 00:00:00+00,SHORT,2936,0.39345817296541596,0.013647149,-0.0788,0.038560975,0.0
2006-05-10 00:00:00+00,SHORT,3677,0.21610923825826694,-0.0023831858,-0.0849,0.10997556,0.0
2006-05-11 00:00:00+00,SHORT,845,1.0,0.011292106,-0.0824,0.016103761,0.0
2006-05-15 00:00:00+00,SHORT,4194,0.0,0.016491853,-0.0903,0.0,0.0
2006-05-26 00:00:00+00,SHORT,1377,0.5368634128463131,0.005840076,-0.0862,0.0,0.0
2006-05-31 00:00:00+00,SHORT,1262,0.3022733296230049,0.016138913,-0.0799,0.0,0.0
2006-06-01 00:00:00+00,SHORT,2396,0.7708797249141024,0.009543445,-0.083,0.035245903,0.0
2006-06-01 00:00:00+00,SHORT,1262,0.2486908187616769,0.006300658,-0.0793,0.0,0.0
2006-06-02 00:00:00+00,SHORT,2276,0.5507174549947591,0.006451208,-0.0947,0.0,0.0
2006-06-02 00:00:00+00,SHORT,2504,0.614488103642243,-5.708138E-4,-0.0977,0.0,0.0
2006-06-02 00:00:00+00,SHORT,2638,0.23219915639178765,-0.005053295,-0.0961,0.0,0.0
2006-06-02 00:00:00+00,SHORT,2703,0.5412289639639895,0.0018693493,-0.0765,0.0,0.0
2006-06-02 00:00:00+00,SHORT,791,0.0,0.006962224,-0.0774,0.0,0.0
2006-06-02 00:00:00+00,SHORT,1262,0.29225046673934435,-0.0014737701,-0.0792,0.0,0.0
2006-06-12 00:00:00+00,SHORT,4194,0.0,-0.004497342,-0.0978,0.0,0.0
2006-06-13 00:00:00+00,SHORT,4194,0.0,-0.0019417779,-0.0987,0.0,0.0
2006-06-14 00:00:00+00,SHORT,4153,1.0,0.015714098,-0.0983,0.0,0.0
2006-06-30 00:00:00+00,SHORT,4171,0.2969305865885681,0.0045225834,-0.0884,0.0,0.0
