time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,-0.0975,0.0,0.0,6.917133E-4
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,-0.1032,0.0,0.0,0.017188895
2005-12-06 00:00:00+00,SHORT,3607,0.474875280637674,-0.0858,0.0,0.0,-0.008769241
2005-12-06 00:00:00+00,SHORT,1867,0.0,-0.1041,0.0,0.0,8.223211E-4
2005-12-06 00:00:00+00,SHORT,2041,0.0,-0.1029,0.0,0.0,0.020548824
2005-12-07 00:00:00+00,SHORT,1615,0.0,-0.1065,0.0,0.0,0.020317914
2005-12-08 00:00:00+00,SHORT,1615,0.0,-0.1064,0.0,0.0,1.4653458E-4
2005-12-08 00:00:00+00,SHORT,3815,0.0,-0.0932,0.0,0.0,0.005223094
2005-12-09 00:00:00+00,SHORT,3607,0.16245225388876655,-0.0859,0.0,0.0,-0.0055697667
2005-12-09 00:00:00+00,SHORT,1867,0.0,-0.1044,0.0,0.0,-0.012526052
2005-12-12 00:00:00+00,SHORT,131,0.02325754964055413,-0.103,0.0,0.0,-0.009125566
2005-12-12 00:00:00+00,SHORT,2936,0.16397695797249204,-0.1023,0.0,0.0,-0.01101435
2005-12-13 00:00:00+00,SHORT,243,0.2892270352918167,-0.0901,0.0,0.0,-0.0022823
2005-12-13 00:00:00+00,SHORT,1173,0.29797398907909656,-0.091,0.0,0.0,-0.0116335945
2005-12-13 00:00:00+00,SHORT,3607,0.2970910694680924,-0.0861,0.0,0.0,-0.010584923
2005-12-13 00:00:00+00,SHORT,4032,0.5315481263455044,-0.0866,0.0,0.0,-0.0058242744
2005-12-14 00:00:00+00,SHORT,4187,0.0,-0.1026,0.0,0.0,-0.012011569
2005-12-14 00:00:00+00,SHORT,243,0.23359293582537782,-0.0899,0.0,0.0,0.0039016786
2005-12-14 00:00:00+00,SHORT,870,0.0,-0.093,0.0,0.0,0.018599203
2005-12-14 00:00:00+00,SHORT,2936,0.07202063641197082,-0.1028,0.0,0.0,-0.011755028
2005-12-14 00:00:00+00,SHORT,1173,0.2203135379287504,-0.0909,0.0,0.0,-0.006796347
2005-12-14 00:00:00+00,SHORT,4005,0.3213857135443851,-0.0943,0.0,0.0,0.028492933
2005-12-15 00:00:00+00,SHORT,4005,0.14274914082933074,-0.095,0.0,0.0,-0.00929931
2005-12-16 00:00:00+00,SHORT,3052,0.25939308310238945,-0.1013,0.0,0.0,0.003976836
2005-12-16 00:00:00+00,SHORT,1090,0.0,-0.1046,0.0,0.0,-0.004958889
2005-12-16 00:00:00+00,SHORT,1235,0.5676695915744582,-0.1019,0.0,0.0,-0.0031804123
2005-12-19 00:00:00+00,SHORT,3052,0.24604797595777084,-0.1007,0.0,0.0,-0.009850127
2005-12-20 00:00:00+00,SHORT,2971,0.0,-0.0865,0.0,0.0,0.0065732687
2005-12-20 00:00:00+00,SHORT,3052,0.0,-0.101,0.0,0.0,-0.007389828
2005-12-21 00:00:00+00,SHORT,2971,0.0,-0.0867,0.0,0.0,-0.006246867
2005-12-22 00:00:00+00,SHORT,121,0.0,-0.0987,0.0,0.0,-0.012630102
2005-12-22 00:00:00+00,SHORT,2557,0.0,-0.0843,0.0,0.0,-0.009730705
2005-12-28 00:00:00+00,SHORT,2710,0.0,-0.0948,0.0,0.0,-0.006647007
2005-12-29 00:00:00+00,SHORT,559,0.0,-0.0948,0.0,0.0,-0.001372745
2005-12-29 00:00:00+00,SHORT,2710,0.0,-0.0947,0.0,0.0,-0.009105228
2006-01-03 00:00:00+00,SHORT,559,0.0,-0.0851,0.0,0.0,-9.5768645E-4
2006-01-04 00:00:00+00,SHORT,559,0.0,-0.0849,0.0,0.0,-0.009860699
2006-01-04 00:00:00+00,SHORT,602,0.0,-0.0952,0.0,0.0,-0.012770999
2006-01-04 00:00:00+00,SHORT,1250,0.2725873655387356,-0.0845,0.0,0.0,-0.012551408
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,-0.094,0.0,0.0,0.0027183378
2006-01-06 00:00:00+00,SHORT,602,0.0,-0.0959,0.0,0.0,-0.01049026
2006-01-06 00:00:00+00,SHORT,1063,0.3029447753702112,-0.0919,0.0,0.0,-0.008863991
2006-01-06 00:00:00+00,SHORT,1306,0.0,-0.09,0.0,0.0,-0.009013148
2006-01-06 00:00:00+00,SHORT,1967,0.14559746373647175,-0.0854,0.0,0.0,9.649205E-4
2006-01-09 00:00:00+00,SHORT,4218,0.2958153101456757,-0.088,0.0,0.0,1.9278943E-4
2006-01-09 00:00:00+00,SHORT,1615,0.0,-0.0822,0.0,0.0,0.00564093
2006-01-09 00:00:00+00,SHORT,1762,0.0,-0.0867,0.0,0.0,0.010170087
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,-0.0944,0.0,0.0,0.02223341
2006-01-09 00:00:00+00,SHORT,3841,0.4986192329407974,-0.0931,0.0,0.0,0.0025944905
2006-01-09 00:00:00+00,SHORT,1803,0.4480819002875423,-0.096,0.0,0.0,0.0042914264
2006-01-10 00:00:00+00,SHORT,9,0.5150596455459239,-0.0852,0.0,0.0,-0.0013767453
2006-01-10 00:00:00+00,SHORT,4218,0.21768581590631614,-0.0884,0.0,0.0,-0.0044850367
2006-01-10 00:00:00+00,SHORT,2230,0.38894570671880085,-0.0893,0.0,0.0,0.00728682
2006-01-11 00:00:00+00,SHORT,2106,1.0,-0.0893,0.0,0.0,0.011276522
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,-0.0884,0.0,0.0,0.0030183184
2006-01-11 00:00:00+00,SHORT,2437,0.324811578198072,-0.0919,0.0,0.0,-0.006335752
