time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2006-03-17 00:00:00+00,SHORT,3539,0.31764157948023436,0.5060241,0.7052343,0.05993271,0.0015300028
2006-03-22 00:00:00+00,SHORT,3127,0.22065970567597123,0.3125,0.8050047,0.13002527,0.04807937
2006-03-22 00:00:00+00,SHORT,1303,0.7930369898173947,0.44230768,0.7653566,0.06184597,0.04409472
2006-03-23 00:00:00+00,SHORT,3127,0.17434492273589178,0.3125,0.6401657,0.15282658,0.018196732
2006-03-23 00:00:00+00,SHORT,1303,0.6542338901943808,0.44444445,0.73981893,0.0575425,0.032053195
2006-03-24 00:00:00+00,SHORT,2262,1.0,0.22727273,0.3870153,0.049978692,0.007273868
2006-03-24 00:00:00+00,SHORT,3127,0.22451470949296184,0.3125,0.61452097,0.15333939,0.01240405
2006-03-27 00:00:00+00,SHORT,2262,0.9375,0.25581396,0.33117372,0.053206693,0.0028576232
2006-03-27 00:00:00+00,SHORT,3127,0.1660392929784629,0.3125,0.5938662,0.13324708,0.0070779854
2006-03-27 00:00:00+00,SHORT,1303,0.5526918985015093,0.4074074,0.64916337,0.075191624,0.0021437455
2006-03-29 00:00:00+00,SHORT,2999,0.680065050872031,0.3125,0.81147444,0.02795011,0.010624412
2006-03-30 00:00:00+00,SHORT,2999,0.6923636409027536,0.26666668,0.7131035,0.03345066,0.0012165688
2006-03-30 00:00:00+00,SHORT,1303,0.6470588235294118,0.4074074,0.45951238,0.07265001,0.007545022
2006-03-31 00:00:00+00,SHORT,2999,0.6420493373824687,0.25,0.72486514,0.03345066,0.004624059
2006-03-31 00:00:00+00,SHORT,1297,0.324617360116782,0.15789473,0.79212976,0.061387826,0.053480104
2006-04-03 00:00:00+00,SHORT,1297,0.17824047335024257,0.16666667,0.58374816,0.09439935,0.007216852
2006-04-05 00:00:00+00,SHORT,4112,1.0,0.27272728,0.59816414,0.08136231,0.001972221
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.33333334,0.55616355,0.099029996,0.009517679
2006-04-18 00:00:00+00,SHORT,2546,0.5413334404052924,0.4909091,0.27051032,0.077954754,0.003333656
2006-04-18 00:00:00+00,SHORT,836,0.5556631102312777,0.4054054,0.33778307,0.036421437,0.009579898
2006-04-19 00:00:00+00,SHORT,2690,0.45640811050335295,0.45945945,0.6213554,0.07997529,0.029194502
2006-04-19 00:00:00+00,SHORT,1280,1.0,0.16216215,0.385688,0.08932885,0.024517173
2006-04-20 00:00:00+00,SHORT,2690,0.30530012454279676,0.4722222,0.40618172,0.10307922,0.004590354
2006-04-20 00:00:00+00,SHORT,1710,0.0,0.14666666,0.46914783,0.035766955,0.008026192
2006-04-20 00:00:00+00,SHORT,1762,0.6352068504295981,0.45454547,0.34489626,0.08396245,0.026673095
2006-04-21 00:00:00+00,SHORT,2690,0.3559778022800402,0.4722222,0.4887038,0.10307922,0.013690767
2006-04-21 00:00:00+00,SHORT,984,0.0,0.3611111,0.20051232,0.14376795,0.010810286
2006-04-21 00:00:00+00,SHORT,1173,0.5175271252361759,0.25,0.2418133,0.120491296,0.0012757971
2006-04-21 00:00:00+00,SHORT,3283,0.5212133009656423,0.4,0.31937745,0.10369893,0.007724524
2006-04-21 00:00:00+00,SHORT,1280,0.8333333333333334,0.16666667,0.19013764,0.11413801,0.0021098605
2006-04-21 00:00:00+00,SHORT,1678,1.0,0.41379312,0.37423667,0.070348285,0.020790948
2006-04-21 00:00:00+00,SHORT,1762,0.605613393833324,0.48,0.35011852,0.078959666,0.02005442
2006-04-24 00:00:00+00,SHORT,1678,0.9230769230769231,0.3448276,0.50538254,0.070348285,0.017816948
2006-04-26 00:00:00+00,SHORT,142,1.0,0.3529412,0.85992897,0.03655611,0.033336077
2006-04-27 00:00:00+00,SHORT,142,0.9523809523809523,0.21052632,0.49459928,0.059659768,0.0042069145
2006-04-27 00:00:00+00,SHORT,2863,1.0,0.3,0.6871414,0.04368023,0.0064278035
2006-05-02 00:00:00+00,SHORT,2272,1.0,0.5,0.2932417,0.07751907,0.0026224474
2006-05-02 00:00:00+00,SHORT,1108,0.6729659856297613,0.13333334,0.64135945,0.082827635,0.041298695
2006-05-03 00:00:00+00,SHORT,142,0.22572988826717785,0.22727273,0.46396068,0.064260356,0.003072207
2006-05-03 00:00:00+00,SHORT,1108,0.586660164146963,0.13333334,0.7051242,0.07035761,0.034184456
2006-05-04 00:00:00+00,SHORT,1108,0.560804988024801,0.13793103,0.6760484,0.07248981,0.024176586
