time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,velocity_eps_9m_univ_zscore_df051
2007-01-10 00:00:00+00,LONG,3049,0.7188600222196869,-0.002573841,-0.05843164
2007-01-10 00:00:00+00,LONG,1667,0.5728648303721218,0.002345551,-0.053027414
2007-01-10 00:00:00+00,LONG,4062,0.9411764705882353,-0.0064897165,-0.050865725
2007-01-11 00:00:00+00,LONG,4000,0.96875,-0.0030415808,-0.0336657
2007-01-12 00:00:00+00,LONG,629,0.9090909090909091,-0.004114997,-0.047621798
2007-01-12 00:00:00+00,LONG,3049,0.8211309841092451,-0.0036981406,-0.05843025
2007-01-12 00:00:00+00,LONG,3466,0.9259259259259259,2.410898E-5,-0.010147305
2007-01-12 00:00:00+00,LONG,1740,0.7743387113435976,-0.0067211506,-0.061000176
2007-01-16 00:00:00+00,LONG,3049,0.7342312794331085,-0.001176947,-0.05843025
2007-01-16 00:00:00+00,LONG,3466,0.8888888888888888,-0.0043243244,-0.015797103
2007-01-17 00:00:00+00,LONG,2261,0.9090909090909091,-9.783729E-4,-0.052564856
2007-01-17 00:00:00+00,LONG,3049,0.7583972463426134,-0.0033627567,-0.05829597
2007-01-18 00:00:00+00,LONG,1790,0.5080575298680404,-0.0019334184,-0.05183324
2007-01-19 00:00:00+00,LONG,4118,0.0,-0.0072695105,-0.04812199
2007-01-23 00:00:00+00,LONG,3273,0.6243916039511567,-0.0013782453,-0.053272467
2007-01-23 00:00:00+00,LONG,3309,0.75,-0.005520264,-0.05197716
2007-01-23 00:00:00+00,LONG,1767,0.49654947925244697,-7.2753936E-4,-0.052564494
2007-01-24 00:00:00+00,LONG,2133,0.5755542851526075,3.131568E-4,-0.053262614
2007-01-25 00:00:00+00,LONG,2079,1.0,-0.0069890413,-0.055526193
2007-01-25 00:00:00+00,LONG,3218,0.7324402452667417,-0.0060631535,-0.054485478
2007-01-25 00:00:00+00,LONG,3273,0.5688520577322453,3.9874978E-4,-0.056220006
2007-01-25 00:00:00+00,LONG,1767,0.4665148578441698,-0.0026430837,-0.055526193
2007-01-26 00:00:00+00,LONG,3218,0.6713749409510599,-0.006004912,-0.05329691
2007-01-26 00:00:00+00,LONG,1767,0.6801587975342462,-0.0065332097,-0.05436748
2007-01-29 00:00:00+00,LONG,345,0.2061378677233528,-0.0057611656,-0.04488025
2007-01-29 00:00:00+00,LONG,2776,0.3931971770529877,7.6197763E-4,-0.05772688
2007-01-31 00:00:00+00,LONG,2776,0.3878978702235724,-0.0046545835,-0.057745147
2007-02-02 00:00:00+00,LONG,3309,0.5,-0.00425561,-0.007684051
2007-02-28 00:00:00+00,LONG,3436,0.10168163429918614,-0.0034962278,-0.051450342
2007-03-05 00:00:00+00,LONG,2430,0.6284102417975785,-0.0048365598,-0.037613645
2007-03-05 00:00:00+00,LONG,959,1.0,2.1279609E-4,-0.050419066
2007-03-05 00:00:00+00,LONG,1092,0.6489449462962722,0.0017585481,8.0261525E-4
2007-03-05 00:00:00+00,LONG,3586,1.0,-0.0075251563,-0.051421523
2007-03-05 00:00:00+00,LONG,3841,0.3865663025646337,-0.0066597816,0.007205325
2007-03-06 00:00:00+00,LONG,1,0.9787234042553191,-0.0022327201,-0.051237475
2007-03-06 00:00:00+00,LONG,356,0.0,-0.0053817495,-0.025679993
2007-03-06 00:00:00+00,LONG,3436,0.17895278893629565,0.002827094,-0.050008252
2007-03-06 00:00:00+00,LONG,1922,0.9491525423728814,6.0867885E-4,-0.05520897
2007-03-06 00:00:00+00,LONG,4073,0.0,-0.0021792992,-0.038458735
2007-03-07 00:00:00+00,LONG,1092,0.6654049193267494,3.853646E-4,-0.033859342
2007-03-07 00:00:00+00,LONG,3192,0.6356389465711622,1.1945668E-4,-0.051055215
2007-03-07 00:00:00+00,LONG,1368,1.0,-0.008012678,-0.042005874
2007-03-07 00:00:00+00,LONG,3436,0.14093910555958217,-0.0041264715,-0.05097523
2007-03-07 00:00:00+00,LONG,3912,0.5260756517286402,0.004217738,-0.033859342
2007-03-07 00:00:00+00,LONG,1922,0.7812193397668643,0.0034860459,-0.056185234
2007-03-08 00:00:00+00,LONG,356,0.0,-0.004709201,-0.053946603
2007-03-08 00:00:00+00,LONG,2665,0.40703727736667106,0.0011518102,-0.0117295375
2007-03-08 00:00:00+00,LONG,1092,0.6969894374870209,-0.0041530984,-0.023502678
2007-03-08 00:00:00+00,LONG,3515,0.5011603472817483,-0.004638702,-0.058569007
2007-03-08 00:00:00+00,LONG,3912,0.6033899832322704,0.0027074316,-0.023502678
2007-03-09 00:00:00+00,LONG,2351,0.0,-0.00675208,-0.053173468
2007-03-09 00:00:00+00,LONG,356,0.0,-0.008346851,-0.05381861
2007-03-09 00:00:00+00,LONG,2665,0.9836065573770492,-0.0068223197,-0.0027705876
2007-03-13 00:00:00+00,LONG,2088,0.0,-0.008043599,-0.044340275
2007-03-13 00:00:00+00,LONG,356,0.0,-0.0020400335,-0.04289915
2007-03-13 00:00:00+00,LONG,1092,0.5942384654586585,2.1349103E-4,-0.01234726
