time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-10-21 00:00:00+00,LONG,3743,0.35667191292430456,-0.024182513,-0.051448498
2005-10-21 00:00:00+00,LONG,4059,0.9722222222222222,-0.024922267,-0.0330308
2005-10-24 00:00:00+00,LONG,1092,0.9743589743589743,-0.024800142,-0.015563216
2005-10-24 00:00:00+00,LONG,3652,0.5184953924776973,-0.025396759,-0.022375697
2005-10-24 00:00:00+00,LONG,1967,0.7076841184620356,-0.025255064,-0.00223953
2005-10-25 00:00:00+00,LONG,2079,0.9230769230769231,-0.025532588,-0.02090946
2005-10-25 00:00:00+00,LONG,3652,0.5254437303420533,-0.02563428,-0.023532359
2005-10-26 00:00:00+00,LONG,2079,0.8974358974358975,-0.024114734,-0.023533618
2005-10-26 00:00:00+00,LONG,684,0.0,-0.024773562,-0.017921278
2005-10-26 00:00:00+00,LONG,3905,0.286636412837878,-0.025531832,0.0042241924
2005-10-26 00:00:00+00,LONG,1967,0.6563561435540132,-0.02406766,-0.0026813834
2005-10-27 00:00:00+00,LONG,2396,0.7872340425531915,-0.02447418,-0.011557636
2005-10-27 00:00:00+00,LONG,3127,0.8571428571428572,-0.024501067,-0.052762143
2005-10-27 00:00:00+00,LONG,1593,0.09432342388195046,-0.024573773,1.2281713E-4
2005-10-27 00:00:00+00,LONG,3742,0.7274701558028468,-0.024473773,-0.0059294323
2005-10-28 00:00:00+00,LONG,2276,0.9761904761904762,-0.026182927,-0.043710712
2005-10-31 00:00:00+00,LONG,2408,0.4354157395615996,-0.02600064,-0.029035354
2005-11-01 00:00:00+00,LONG,3521,0.9622641509433962,-0.024732804,-0.008241257
2005-11-01 00:00:00+00,LONG,1593,0.0863935118327265,-0.025408752,0.0017546787
2005-11-02 00:00:00+00,LONG,427,0.0,-0.025585027,-0.026717944
2005-11-03 00:00:00+00,LONG,2247,0.975609756097561,-0.025032423,7.4876356E-4
2005-11-09 00:00:00+00,LONG,2479,0.8888888888888888,-0.025357272,-0.0102833025
2005-11-10 00:00:00+00,LONG,3645,0.0,-0.025094809,-0.0076374006
2005-11-14 00:00:00+00,LONG,1803,0.9491478443080048,-0.023965798,-8.398907E-4
2005-11-15 00:00:00+00,LONG,91,0.0,-0.024895553,-0.02700049
