time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2006-10-09 00:00:00+00,LONG,356,0.5409448330941034,0.15270147,-0.047169577,-0.15270147,-0.004566028,-20.94
2006-10-09 00:00:00+00,LONG,2619,0.2638393227288901,0.14380577,-0.03763206,-0.14380577,6.7056186E-4,-0.01
2006-10-09 00:00:00+00,LONG,2690,0.737020173047857,0.13288242,-0.056072183,-0.13288242,-0.025563715,20.49
2006-10-10 00:00:00+00,LONG,1888,0.2974423851415892,0.16633858,-0.10221751,-0.16633858,0.00797755,-48.93
2006-11-06 00:00:00+00,LONG,2877,1.0,0.17083254,-0.071388274,-0.17083254,0.013457309,-41.39
2006-11-07 00:00:00+00,LONG,2877,0.41411867993727136,0.16709845,-0.10766516,-0.16709845,0.024235463,-42.65
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,0.17436276,-0.11267466,-0.17436276,-0.027059617,-43.55
2007-01-04 00:00:00+00,LONG,1173,0.6031377444778159,0.13415794,-0.021449262,-0.13415794,0.015210138,-56.2
2007-01-05 00:00:00+00,LONG,3283,0.975,0.1400982,-0.07608569,-0.1400982,0.027996933,28.81
2007-01-05 00:00:00+00,LONG,1404,0.7421189594844843,0.15509601,-0.072322,-0.15509601,8.9530763E-4,-42.61
2007-01-08 00:00:00+00,LONG,3283,0.9090909090909091,0.15478484,-0.08585261,-0.15478484,-0.020673566,29.69
2007-01-08 00:00:00+00,LONG,1404,0.6881135560549885,0.1537091,-0.09912948,-0.1537091,0.004753183,-41.64
2007-01-08 00:00:00+00,LONG,4062,1.0,0.13831054,-0.047360677,-0.13831054,0.03767285,9.9
2007-01-09 00:00:00+00,LONG,93,0.0,0.1321567,0.011992922,-0.1321567,-0.026842121,-27.8
2007-01-09 00:00:00+00,LONG,3283,0.925,0.14147599,-0.101889856,-0.14147599,0.010254743,32.69
2007-01-09 00:00:00+00,LONG,1404,0.6762292685429577,0.16290322,-0.10064798,-0.16290322,-0.02165583,-42.88
