time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,0.15637283,0.040759884,0.0
2006-01-23 00:00:00+00,LONG,157,0.6241627460736752,0.14004499,0.017350957,0.0
2006-01-23 00:00:00+00,LONG,3818,1.0,0.10507977,0.0063442886,0.0
2006-01-26 00:00:00+00,LONG,157,0.7272727272727273,0.12790039,-0.008192245,0.0
2006-01-27 00:00:00+00,LONG,157,0.450808345260824,0.14007342,-0.004067731,0.0
2006-01-27 00:00:00+00,LONG,1667,0.0,0.12923077,0.012468496,0.0
2006-01-30 00:00:00+00,LONG,2085,0.0,0.19276577,0.053825475,0.0
2006-01-30 00:00:00+00,LONG,1667,0.0,0.13571429,0.009040221,0.0
2006-01-31 00:00:00+00,LONG,2085,0.0,0.1862657,0.04770968,0.0
2006-01-31 00:00:00+00,LONG,610,0.0,0.116006464,0.026639285,0.0
2006-01-31 00:00:00+00,LONG,1667,0.0,0.14708887,0.016877929,0.0
2006-02-01 00:00:00+00,LONG,2085,0.0,0.17982063,0.026391283,0.0
2006-02-01 00:00:00+00,LONG,610,0.9772727272727273,0.10616578,0.015817767,0.0
2006-02-01 00:00:00+00,LONG,1667,0.0,0.13794872,0.00518523,0.0
2006-02-02 00:00:00+00,LONG,2085,0.0,0.1481831,0.025710443,0.0
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,0.111201964,0.012543243,0.0
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,0.15899442,0.010067586,0.0
2006-02-03 00:00:00+00,LONG,2085,0.0,0.13998127,-0.0026356792,0.0
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,0.16368768,0.08270573,0.0
2006-02-03 00:00:00+00,LONG,610,0.0,0.13868037,6.75288E-4,0.0
2006-02-03 00:00:00+00,LONG,3853,0.9333333333333333,0.10554562,-0.010664991,0.0
2006-02-06 00:00:00+00,LONG,2070,0.6299046171880753,0.15596586,-0.0012514477,0.0
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,0.15691426,0.07383532,0.0
2006-02-06 00:00:00+00,LONG,610,0.0,0.16428295,-6.5368175E-4,0.0
2006-02-07 00:00:00+00,LONG,2070,0.5664011374536513,0.16243829,-0.008684737,0.0
2006-02-07 00:00:00+00,LONG,76,0.0,0.19485211,0.051786605,0.0
2006-02-08 00:00:00+00,LONG,76,0.0,0.16177818,0.018423783,0.0
2006-02-08 00:00:00+00,LONG,4049,0.42910885493433903,0.13076225,-0.0068501495,0.0
2006-02-09 00:00:00+00,LONG,76,0.0,0.12626381,-0.0045053125,0.0
2006-02-10 00:00:00+00,LONG,167,1.0,0.17291667,0.0048025046,0.0
2006-02-15 00:00:00+00,LONG,1444,0.0,0.15150812,9.615356E-5,0.0
2006-02-21 00:00:00+00,LONG,3447,1.0,0.14813979,0.070948996,0.0
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,0.12277138,0.034499075,0.0
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,0.11229825,0.021599544,0.0
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,0.1438327,0.016213994,0.0
2006-03-08 00:00:00+00,LONG,1949,1.0,0.1276439,-0.0046214014,0.0
2006-03-09 00:00:00+00,LONG,4123,0.6857781721516761,0.11950635,0.017280161,0.0
2006-03-10 00:00:00+00,LONG,4123,0.6953499797783559,0.11091314,9.556194E-4,0.0
