time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2023-10-30 00:00:00+00,LONG,3216,0.9464285714285714,-0.17325582,-0.3737213,-0.10255814,-0.056995768,0.0
2023-10-31 00:00:00+00,LONG,4189,0.3866533924326937,-0.12663755,-0.34645,-0.0430947,-0.021697188,0.0
2023-11-01 00:00:00+00,LONG,1377,0.9767441860465116,-0.17895609,-0.42336407,-0.06519651,-0.018975131,0.0
2023-11-02 00:00:00+00,LONG,1377,0.5336231922957588,-0.15429525,-0.38842332,-0.11164237,-0.060402036,0.0
2023-11-08 00:00:00+00,LONG,3859,0.0,-0.13191205,-0.38253093,-0.10253677,-0.07404922,0.0
2023-11-09 00:00:00+00,LONG,3859,0.0,-0.16617113,-0.42163014,-0.06770466,-0.041782893,0.0
2023-11-13 00:00:00+00,LONG,3648,0.3657651226234792,-0.099075295,-0.412946,-0.06923416,-0.049018126,0.0
2023-11-16 00:00:00+00,LONG,158,0.0,-0.1401766,-0.37989134,-0.040033203,-0.021677345,0.0
2023-11-21 00:00:00+00,LONG,3581,0.5743555512938312,-0.08699397,-0.36543357,-0.07465819,-0.05443458,0.0
2023-11-22 00:00:00+00,LONG,3581,0.4923627397085504,-0.0958203,-0.39952645,-0.07067269,-0.052281063,0.0
2023-11-29 00:00:00+00,LONG,1471,0.7073170731707317,-0.09109731,-0.40042767,-0.07223109,-0.055915415,0.0
2023-11-30 00:00:00+00,LONG,631,0.30788870444253674,-0.08699187,-0.3959382,-0.07562029,-0.061039887,0.0
2023-12-01 00:00:00+00,LONG,631,0.24959187891028806,-0.08515225,-0.41080907,-0.0772709,-0.06348131,0.0
2023-12-15 00:00:00+00,LONG,2971,0.0,-0.11791984,-0.39090306,-0.031789035,-0.0063170968,0.0
2023-12-18 00:00:00+00,LONG,2971,0.12991612292804464,-0.09103124,-0.35965818,-0.06027948,-0.032672357,0.0
2024-01-17 00:00:00+00,LONG,2176,0.36192269665613425,-0.11743772,-0.33817768,-0.037194137,-0.01593832,0.0
2024-01-17 00:00:00+00,LONG,4234,0.0,-0.15910333,-0.38560584,-0.088747226,-0.040647354,0.0
2024-01-17 00:00:00+00,LONG,2349,0.006175393963429536,-0.08970439,-0.36985114,-0.024468781,-0.0020118628,0.0
2024-01-17 00:00:00+00,LONG,1869,0.3177492115479453,-0.10768043,-0.39776772,-0.012824571,0.004122221,0.0
2024-01-18 00:00:00+00,LONG,4234,0.0,-0.1593017,-0.36754397,-0.11344079,-0.06102547,0.0
2024-01-18 00:00:00+00,LONG,2349,0.0,-0.090309486,-0.3454319,-0.04189723,-0.017403515,0.0
2024-01-22 00:00:00+00,LONG,356,1.0,-0.14285715,-0.4332004,-0.079735644,-0.04217229,0.0
2024-01-24 00:00:00+00,LONG,2176,0.8863636363636364,-0.08465991,-0.37230134,-0.063164406,-0.045182142,0.0
2024-01-31 00:00:00+00,LONG,1453,0.8571428571428572,-0.095987156,-0.38959077,-0.08162796,-0.060525898,0.0
2024-01-31 00:00:00+00,LONG,1822,0.8688524590163934,-0.15698586,-0.34195486,-0.09911245,-0.06639484,0.0
2024-02-05 00:00:00+00,LONG,1822,0.819672131147541,-0.118530884,-0.39196014,-0.08705981,-0.056758594,0.0
2024-02-06 00:00:00+00,LONG,1822,0.8032786885245902,-0.09335576,-0.43262997,-0.093605585,-0.06829547,0.0
2024-02-07 00:00:00+00,LONG,1173,0.9591836734693877,-0.09268614,-0.37403208,-0.044916335,-0.03239866,0.0
2024-02-09 00:00:00+00,LONG,2270,0.8342045411787544,-0.09238938,-0.34281996,-0.0109439455,0.004602275,0.0
2024-02-20 00:00:00+00,LONG,714,0.0,-0.14829776,-0.40742806,-0.033287913,-0.011367671,0.0
2024-02-21 00:00:00+00,LONG,714,0.0,-0.11598558,-0.38665247,-0.04267493,-0.018877592,0.0
2024-02-21 00:00:00+00,LONG,995,0.41265602890129444,-0.114473686,-0.41426727,-0.045195658,-0.021253819,0.0
2024-02-23 00:00:00+00,LONG,2383,0.5649948032706936,-0.14047791,-0.4117538,-0.02148441,0.0044848514,0.0
2024-02-26 00:00:00+00,LONG,2383,0.4889844733003918,-0.12772809,-0.41311386,-0.05393486,-0.027812162,0.0
2024-02-26 00:00:00+00,LONG,714,0.0,-0.102610804,-0.37225306,-0.0625427,-0.037373275,0.0
2024-02-26 00:00:00+00,LONG,995,0.31942542233508453,-0.098535284,-0.4000484,-0.0649116,-0.039799888,0.0
2024-02-27 00:00:00+00,LONG,2383,0.4067358282044029,-0.10641297,-0.41664228,-0.094906926,-0.06914317,0.0
2024-02-27 00:00:00+00,LONG,1610,0.975,-0.11483595,-0.35915712,-0.06941016,-0.032006137,0.0
2024-02-28 00:00:00+00,LONG,3466,0.0,-0.094736844,-0.37383693,-0.027815396,-0.021264382,0.0
2024-02-28 00:00:00+00,LONG,1610,0.95,-0.13611111,-0.35101676,-0.08577311,-0.04667822,0.0
2024-02-29 00:00:00+00,LONG,1022,0.0,-0.08502994,-0.3554391,-0.07902404,-0.051302176,0.0
2024-03-05 00:00:00+00,LONG,1022,0.0,-0.10268378,-0.39699802,-0.08226946,-0.05843388,0.0
2024-03-06 00:00:00+00,LONG,1298,0.1770679605479117,-0.09614035,-0.3930349,-0.08305123,-0.068293475,0.0
2024-03-11 00:00:00+00,LONG,1198,0.19657230218374416,-0.115869015,-0.35083476,-0.05199124,-0.023058034,0.0
2024-03-13 00:00:00+00,LONG,2440,0.0,-0.08847299,-0.39197648,-0.0341292,-0.02889355,0.0
2024-03-22 00:00:00+00,LONG,1198,0.037956643783547545,-0.09463987,-0.37197188,-0.10348511,-0.07727388,0.0
2024-04-16 00:00:00+00,LONG,4249,0.0,-0.11233379,-0.40888914,-0.03245305,-0.009044582,0.0
2024-04-17 00:00:00+00,LONG,4249,0.0,-0.10890632,-0.38729292,-0.04367475,-0.0182802,0.0
2024-04-19 00:00:00+00,LONG,4249,0.0,-0.11808934,-0.41210344,-0.07487397,-0.051731605,0.0
2024-04-29 00:00:00+00,LONG,2176,0.5142662534895835,-0.09843081,-0.34188113,-0.09589028,-0.071894884,0.0
