time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,accel_volume_5_df025,dist_lower_bb_20_2.0_df055
2007-06-01 00:00:00+00,LONG,1176,0.972972972972973,-0.057430457,0.6290013,1.0720063E-4
2007-06-14 00:00:00+00,LONG,3861,0.9310344827586207,-0.029339284,0.13605815,-0.009063213
2007-06-19 00:00:00+00,LONG,142,0.0,-0.025622346,0.83196086,0.015429102
2007-06-26 00:00:00+00,LONG,195,0.0,-0.024022482,0.53441864,-8.310917E-4
2007-06-27 00:00:00+00,LONG,69,0.49317948867248507,-0.044463843,0.72595334,0.010165978
2007-06-28 00:00:00+00,LONG,2125,0.0,-0.025542023,0.27765346,0.004272367
2007-07-06 00:00:00+00,LONG,1715,0.0,-0.033834346,0.28643748,-0.0041686306
2007-07-09 00:00:00+00,LONG,1715,0.0,-0.031117719,0.17068675,-0.001303946
2007-07-11 00:00:00+00,LONG,1715,0.0,-0.027270632,0.44446775,-0.0050261104
2007-07-30 00:00:00+00,LONG,28,0.7484651011004835,-0.022300547,-0.0089656925,-0.003089321
2007-08-03 00:00:00+00,LONG,121,0.0,-0.03310991,0.6345281,0.013783893
2007-08-06 00:00:00+00,LONG,1927,1.0,-0.043887816,0.5209902,-0.009006264
2007-08-14 00:00:00+00,LONG,194,0.0,-0.04525698,0.48471573,-0.00830206
2007-08-16 00:00:00+00,LONG,417,1.0,-0.027950464,-0.011524474,-0.0066084103
2007-08-16 00:00:00+00,LONG,517,0.0,-0.07621892,0.2743445,0.011194886
2007-08-16 00:00:00+00,LONG,2567,0.0,-0.032275923,0.30567116,0.0019460937
2007-08-16 00:00:00+00,LONG,602,1.0,-0.030211305,0.09083358,0.017513307
2007-08-16 00:00:00+00,LONG,995,0.35841519027988095,-0.050025463,0.271402,-0.009388069
2007-08-16 00:00:00+00,LONG,3124,1.0,-0.02481456,0.56957376,5.9867895E-4
2007-08-16 00:00:00+00,LONG,1244,1.0,-0.030978518,0.2154443,0.009131845
2007-08-16 00:00:00+00,LONG,1377,0.0,-0.040672746,0.86363184,0.005992218
2007-08-16 00:00:00+00,LONG,1474,0.0,-0.05038903,0.34271115,-0.0058681862
2007-08-16 00:00:00+00,LONG,1731,0.5171674904402657,-0.029428547,0.22142613,-0.008641928
2007-08-16 00:00:00+00,LONG,1817,1.0,-0.03679635,0.57183206,0.0039204564
2007-08-16 00:00:00+00,LONG,3897,1.0,-0.049329385,0.38479364,-0.0057761963
2007-08-21 00:00:00+00,LONG,3513,0.9482758620689655,-0.025206806,0.51258194,-0.008619516
2007-08-28 00:00:00+00,LONG,195,0.8813559322033898,-0.05590352,0.5923814,-0.0075950427
2007-09-07 00:00:00+00,LONG,401,0.0,-0.0690666,0.00596522,8.9448155E-4
2007-09-07 00:00:00+00,LONG,1742,0.0,-0.054956052,0.56245244,0.012970671
2007-09-10 00:00:00+00,LONG,401,0.0,-0.06464034,0.017409539,0.013754707
2007-09-10 00:00:00+00,LONG,773,1.0,-0.046306424,0.65975744,0.006997701
2007-09-10 00:00:00+00,LONG,3868,0.0,-0.058531214,0.5341253,-0.009097509
2007-09-11 00:00:00+00,LONG,773,0.96,-0.047021646,0.37134102,-0.008147365
2007-09-12 00:00:00+00,LONG,3471,0.0,-0.05522942,0.76379925,-0.0029553077
2007-09-12 00:00:00+00,LONG,3695,0.16183876545734815,-0.04558757,0.30590197,-0.0045719887
2007-09-13 00:00:00+00,LONG,1144,0.0,-0.038198307,0.45946163,-0.006256828
2007-09-14 00:00:00+00,LONG,3109,0.0,-0.05095692,0.14227766,-0.006787329
2007-09-17 00:00:00+00,LONG,440,0.0,-0.042258613,0.8382244,0.00789175
2007-09-17 00:00:00+00,LONG,2554,0.0,-0.053983234,0.5394832,-0.004523775
2007-09-17 00:00:00+00,LONG,1051,0.0,-0.06053182,0.14598781,-0.008706955
2007-09-17 00:00:00+00,LONG,3109,0.0,-0.049040202,0.3471625,0.0041933665
2007-09-17 00:00:00+00,LONG,3330,1.0,-0.027366895,0.8833726,-8.507611E-4
2007-09-17 00:00:00+00,LONG,3471,0.0,-0.05090236,0.019814722,-0.0016831504
2007-09-17 00:00:00+00,LONG,1474,0.0,-0.035999723,0.7230744,0.0075870357
2007-09-17 00:00:00+00,LONG,3868,0.0,-0.04740035,0.019909421,-0.0070736525
2007-09-17 00:00:00+00,LONG,4005,0.0,-0.081209995,0.36274353,4.9673225E-4
2007-09-19 00:00:00+00,LONG,1328,0.0,-0.026253898,0.04736998,-0.0051176758
2007-09-20 00:00:00+00,LONG,2567,0.0,-0.05271221,0.33432224,-0.0035760442
2007-09-24 00:00:00+00,LONG,2067,0.0,-0.029763643,0.87450194,-0.0019514776
2007-09-25 00:00:00+00,LONG,2818,0.20931576770610424,-0.028630484,0.016613105,0.00104326
2007-11-02 00:00:00+00,LONG,3885,0.5315676040713826,-0.030673862,0.15427484,-0.0026120539
2007-11-08 00:00:00+00,LONG,2226,0.0,-0.023246434,0.69495994,-0.0024316146
2007-11-08 00:00:00+00,LONG,643,0.0,-0.025199858,0.6066683,-0.0052475277
2007-11-09 00:00:00+00,LONG,3743,0.0,-0.029741276,0.0961404,-0.0055489717
2007-11-12 00:00:00+00,LONG,2226,0.0,-0.025087155,0.22901444,-0.006868877
2007-11-12 00:00:00+00,LONG,663,0.0,-0.04709473,0.7728821,-0.0076054246
2007-11-12 00:00:00+00,LONG,3841,0.0,-0.025320098,0.6857788,8.690925E-4
2007-11-13 00:00:00+00,LONG,2213,0.0,-0.04024447,0.060523987,-0.009208575
2007-11-15 00:00:00+00,LONG,2070,0.0,-0.044386014,0.5536038,0.019125652
2007-11-19 00:00:00+00,LONG,2410,0.72812334724293,-0.09259335,0.18187521,-0.0017150963
2007-11-21 00:00:00+00,LONG,2262,0.0,-0.054892085,0.2003438,0.01473623
2007-11-21 00:00:00+00,LONG,638,0.0,-0.053189967,0.09542806,-0.0077308984
2007-11-21 00:00:00+00,LONG,2986,0.0,-0.07474156,0.048722222,-0.008327321
2007-11-21 00:00:00+00,LONG,2990,0.0,-0.022976426,0.15053388,-0.0031307703
2007-11-21 00:00:00+00,LONG,3192,1.0,-0.027566532,0.57296443,-0.00108399
2007-11-26 00:00:00+00,LONG,76,0.0,-0.02512337,0.053625748,-0.0059575653
2007-11-26 00:00:00+00,LONG,2262,0.0,-0.057263292,0.2652056,-0.0073908693
2007-11-26 00:00:00+00,LONG,3853,0.0,-0.061585143,0.31052095,-0.0070611197
2007-11-26 00:00:00+00,LONG,1848,0.3442099352908401,-0.02225053,0.5934362,-0.0076518925
