time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2006-09-27 00:00:00+00,LONG,3595,0.9473684210526316,-0.057953812,0.004611808,0.13913606,-0.04956816
2006-09-28 00:00:00+00,LONG,610,0.9344262295081968,-0.041458294,0.0052359784,0.12995127,0.010645864
2006-10-02 00:00:00+00,LONG,610,0.9016393442622951,-0.055149272,-0.014688693,0.12769902,0.0050971652
2006-10-03 00:00:00+00,LONG,796,0.501842770915703,-0.05113943,-0.029888604,0.1276778,-0.026244804
2006-10-04 00:00:00+00,LONG,4172,0.8727272727272728,-0.03130488,0.005269774,0.12960313,-0.015033216
2006-10-04 00:00:00+00,LONG,610,0.8688524590163934,-0.06638361,-0.008776484,0.12975563,-0.006851522
2006-10-06 00:00:00+00,LONG,2125,0.0,-0.051725924,-0.025492651,0.13124731,-0.07701709
2006-10-12 00:00:00+00,LONG,2125,0.3874018089221727,-0.056336496,-0.009921708,0.160081,-0.070101075
2006-11-06 00:00:00+00,LONG,2877,1.0,-0.04490326,-0.0030758402,0.15297095,0.027627736
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,-0.058815245,-0.015957529,0.15150093,-4.161375E-4
2006-11-09 00:00:00+00,LONG,2993,0.0,-0.020216655,-0.015935672,0.14481476,0.006588984
2006-12-22 00:00:00+00,LONG,2066,0.0,-0.053504545,0.0072054174,0.16118278,0.0746093
2006-12-26 00:00:00+00,LONG,2066,0.0,-0.061478645,0.0053736144,0.13796785,0.05717906
2006-12-27 00:00:00+00,LONG,2066,0.0,-0.069457516,0.009789107,0.12896533,0.043622516
2007-01-05 00:00:00+00,LONG,2125,0.21727960887778677,-0.043459438,0.0035644262,0.15128092,-0.010960164
2007-01-05 00:00:00+00,LONG,3283,0.975,-0.021987809,-5.884477E-4,0.15845004,-0.040609993
2007-01-08 00:00:00+00,LONG,2125,0.19823219472326375,-0.04586093,-0.0228326,0.13043022,-0.0211857
2007-01-12 00:00:00+00,LONG,2816,0.0,-0.06307497,0.010021734,0.13114926,-0.07861461
2007-01-16 00:00:00+00,LONG,2896,0.6844111144128577,-0.046364985,-0.015724888,0.14993194,0.008169158
2007-01-17 00:00:00+00,LONG,2261,0.9090909090909091,-0.059162512,0.009224538,0.13684766,-9.783729E-4
2007-01-25 00:00:00+00,LONG,1767,0.4665148578441698,-0.033318486,-0.0028058223,0.1391108,-0.0026430837
2007-01-26 00:00:00+00,LONG,429,0.603051548323917,-0.030324396,-0.03541317,0.14064094,-0.03047912
2007-01-26 00:00:00+00,LONG,1767,0.6801587975342462,-0.034108363,-0.021745838,0.1391108,-0.0065332097
2007-01-29 00:00:00+00,LONG,2133,0.3758448823333234,-0.020272085,0.0026358168,0.1332184,-0.03206993
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,-0.035980478,-0.030359872,0.14874238,0.042165805
2007-03-07 00:00:00+00,LONG,2351,0.0,-0.032532047,-0.013225579,0.15348385,0.024988795
2007-03-07 00:00:00+00,LONG,2437,0.8666666666666667,-0.028271735,0.010625683,0.13132788,0.020606246
2007-03-07 00:00:00+00,LONG,2497,0.9545454545454546,-0.029607015,-0.005167272,0.1479337,-0.032471877
2007-03-07 00:00:00+00,LONG,2932,0.7161604324555186,-0.041995768,-0.011502323,0.14324309,-0.004057013
2007-03-07 00:00:00+00,LONG,3677,0.9666666666666667,-0.069036834,-0.02562203,0.1421725,-0.030561348
2007-03-08 00:00:00+00,LONG,356,0.0,-0.029424494,0.0099708885,0.15852846,-0.004709201
2007-03-08 00:00:00+00,LONG,3677,0.95,-0.07172469,0.012876645,0.12883705,-0.047972124
2007-03-12 00:00:00+00,LONG,557,0.5341903338081215,-0.054408416,-0.007606939,0.15964223,-0.060687117
2007-03-12 00:00:00+00,LONG,3199,0.0,-0.04380316,-0.0032759116,0.15837304,-0.047218144
2007-03-14 00:00:00+00,LONG,2095,0.06331861057462637,-0.04088664,-0.010818331,0.12826158,-0.037670467
2007-03-15 00:00:00+00,LONG,2343,0.48343828274413225,-0.052745417,-0.025818339,0.12891535,0.009520368
2007-03-15 00:00:00+00,LONG,1244,0.95,-0.025977131,-0.034225803,0.1339109,-0.028898004
2007-03-15 00:00:00+00,LONG,3573,0.9696969696969697,-0.07251637,-0.018854719,0.1272446,-0.0106335
2007-03-16 00:00:00+00,LONG,4153,0.8846153846153846,-0.06576627,-0.008732183,0.14043033,-0.0127553465
2007-04-11 00:00:00+00,LONG,73,0.49237436766312875,-0.033850554,-0.026932567,0.12766519,0.025700683
2007-04-17 00:00:00+00,LONG,2567,0.0,-0.025115171,-0.014225173,0.13245721,-0.014970201
2007-04-18 00:00:00+00,LONG,2567,0.13936497532792802,-0.026599132,0.006365056,0.13245721,-0.028654195
2007-05-24 00:00:00+00,LONG,2345,0.0,-0.04169165,0.0021585934,0.12688057,0.014109964
2007-05-30 00:00:00+00,LONG,1817,0.7223983301419928,-0.051752057,0.0062822183,0.13554856,0.02420725
2007-06-12 00:00:00+00,LONG,1807,0.0,-0.06408944,-0.032191396,0.14841472,0.044384025
2007-06-25 00:00:00+00,LONG,3521,0.0,-0.066636786,0.00202428,0.13670076,0.02697321
2007-06-28 00:00:00+00,LONG,2125,0.0,-0.046313703,-0.013702803,0.1395719,0.04057561
2007-08-03 00:00:00+00,LONG,270,0.5252560708750169,-0.070298746,1.904034E-4,0.1547568,0.016907685
2007-08-06 00:00:00+00,LONG,2079,1.0,-0.032216422,0.0067675523,0.13556516,4.0794903E-4
2007-08-06 00:00:00+00,LONG,2276,0.0,-0.032839075,0.0034068893,0.13303721,-0.01412257
2007-08-13 00:00:00+00,LONG,799,0.1449435579355425,-0.07130016,-0.017915368,0.15124561,-0.07622925
2007-08-13 00:00:00+00,LONG,1840,0.95,-0.062620796,-0.027755039,0.13980904,-0.0050942358
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,-0.04093576,-0.014731214,0.15126023,0.046374947
2007-08-14 00:00:00+00,LONG,1175,0.10128261126975624,-0.049221296,-0.032040935,0.15481204,-0.06885971
2007-08-15 00:00:00+00,LONG,555,0.22862709495248767,-0.046300005,-0.026048074,0.14810878,0.043973166
2007-08-15 00:00:00+00,LONG,791,0.9791666666666666,-0.071414135,0.0074578873,0.16016944,-0.0036374845
2007-08-15 00:00:00+00,LONG,898,0.2747743325583853,-0.04030843,-0.00932954,0.13886583,2.9156356E-5
