time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,dist_upper_bb_50_2.5_df055,price_roc_5_df020
2006-04-19 00:00:00+00,SHORT,535,1.0,0.7669415,-0.034423552,0.06609071
2006-04-20 00:00:00+00,SHORT,2272,0.344038653420515,0.8871866,0.0016058269,0.03127962
2006-04-21 00:00:00+00,SHORT,2272,0.5355141534845818,0.8092429,3.0745676E-4,0.031375326
2006-04-25 00:00:00+00,SHORT,2640,1.0,0.8535459,-0.017404493,0.06308725
2006-04-25 00:00:00+00,SHORT,3677,0.0,0.82080734,-0.052871563,0.053452116
2006-04-26 00:00:00+00,SHORT,142,1.0,0.85992897,0.015632868,0.06557734
2006-04-26 00:00:00+00,SHORT,2640,0.9,0.75491613,-0.031731296,0.012870013
2006-04-26 00:00:00+00,SHORT,3531,1.0,0.94898415,0.0072529684,0.051266585
2006-04-26 00:00:00+00,SHORT,3802,0.527220242738235,0.8754742,-0.0016964066,0.033029065
2006-04-26 00:00:00+00,SHORT,4062,1.0,0.75986874,0.02724494,0.05026455
2006-04-27 00:00:00+00,SHORT,834,0.6015920693410959,0.8970212,0.005822627,0.046624575
2006-04-28 00:00:00+00,SHORT,562,0.34711746317194336,0.91345215,-0.018920807,0.028064992
2006-04-28 00:00:00+00,SHORT,834,0.5493352907632287,0.80039775,-0.005008127,0.032995332
2006-04-28 00:00:00+00,SHORT,1176,0.9444444444444444,0.9572767,-0.009838661,0.07982833
2006-05-01 00:00:00+00,SHORT,1176,0.8888888888888888,0.9150229,-0.028111331,0.06595745
2006-05-02 00:00:00+00,SHORT,1176,0.8333333333333334,0.89341044,-0.037770938,0.005602241
2006-05-03 00:00:00+00,SHORT,1176,0.7777777777777778,0.89138037,-0.043864615,0.016083635
2006-05-04 00:00:00+00,SHORT,1176,0.7222222222222222,0.8918919,-0.03703324,0.03117506
2006-05-05 00:00:00+00,SHORT,2343,0.4673638698625359,0.76806545,-0.01063025,0.034057263
2006-05-05 00:00:00+00,SHORT,2801,0.6605517337435955,0.76355255,0.012114682,0.05931019
2006-05-05 00:00:00+00,SHORT,3109,1.0,0.8254497,-0.014642057,0.04909025
2006-05-08 00:00:00+00,SHORT,2176,1.0,0.82600296,-0.020581946,0.03507271
2006-05-08 00:00:00+00,SHORT,959,0.9473684210526316,0.84511024,-0.02295031,0.03816794
2006-05-09 00:00:00+00,SHORT,523,1.0,0.84785616,-0.023253255,0.0121951215
2006-05-09 00:00:00+00,SHORT,710,0.3369433110142392,0.76007855,-0.021147463,0.015569918
