time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2007-10-18 00:00:00+00,SHORT,1423,0.9090909090909091,0.09283165,0.031422403,-0.2370235,0.09498345
2007-10-22 00:00:00+00,SHORT,1423,0.7272727272727273,0.09932593,0.03298026,-0.22282763,0.08991618
2007-10-31 00:00:00+00,SHORT,2261,0.2309268311790767,0.10092033,0.0438549,-0.22344486,0.10455457
2007-10-31 00:00:00+00,SHORT,4016,0.0,0.082972325,0.057918914,-0.21552168,0.08660656
2007-11-01 00:00:00+00,SHORT,2421,0.0,-1.6099516E-4,0.03322508,-0.2026744,-0.018043684
2007-11-07 00:00:00+00,SHORT,4083,0.0,0.08360598,0.045910493,-0.20425466,0.028838601
2007-12-03 00:00:00+00,SHORT,3343,0.8333333333333334,0.078969724,0.0567887,-0.22006418,0.0567887
2007-12-06 00:00:00+00,SHORT,2670,1.0,0.08841873,0.032930844,-0.23238741,0.08098794
2007-12-06 00:00:00+00,SHORT,3631,1.0,0.010646222,0.05050505,-0.2316153,0.003215434
2007-12-07 00:00:00+00,SHORT,121,0.5022493934868141,0.041030005,0.057113368,-0.22908548,0.06131261
2007-12-07 00:00:00+00,SHORT,219,1.0,0.057317927,0.051735323,-0.23011437,0.07760053
2007-12-07 00:00:00+00,SHORT,791,0.7818745423335242,0.10496992,0.038985264,-0.2427256,0.12525253
2007-12-10 00:00:00+00,SHORT,713,1.0,0.07323916,0.04756335,-0.20912129,0.10667216
2007-12-10 00:00:00+00,SHORT,1447,0.5966127857783754,0.05616644,0.034356236,-0.20956896,0.08959944
2007-12-10 00:00:00+00,SHORT,3519,0.0,0.01741563,0.03910657,-0.20818345,0.05084863
2007-12-10 00:00:00+00,SHORT,1677,1.0,0.0019930368,0.054131307,-0.20284538,0.035426036
2007-12-10 00:00:00+00,SHORT,1678,1.0,0.0019930368,0.05412821,-0.20284706,0.035426036
2007-12-10 00:00:00+00,SHORT,3855,1.0,0.051101245,0.040923998,-0.2163738,0.08453424
2007-12-10 00:00:00+00,SHORT,3868,1.0,0.06408134,0.04258325,-0.22744964,0.09751434
2007-12-11 00:00:00+00,SHORT,540,0.0,0.09885431,0.05176401,-0.23284014,0.11793933
2007-12-11 00:00:00+00,SHORT,2760,0.9,0.10971857,0.037665736,-0.21163754,0.1288036
2007-12-12 00:00:00+00,SHORT,2064,1.0,0.035890557,0.043885972,-0.22209275,0.07534776
2007-12-12 00:00:00+00,SHORT,157,0.0,0.061277773,0.057308972,-0.22359298,0.10073498
2007-12-12 00:00:00+00,SHORT,2816,0.625,0.09570333,0.049522154,-0.2273215,0.13516054
2007-12-21 00:00:00+00,SHORT,2393,1.0,0.11740621,0.034821145,-0.23049468,0.16293134
2007-12-21 00:00:00+00,SHORT,394,0.09090909090909083,0.11692698,0.052011095,-0.2122749,0.1624521
2007-12-24 00:00:00+00,SHORT,2393,0.9285714285714286,0.11152972,0.04072542,-0.21183807,0.14691445
2007-12-27 00:00:00+00,SHORT,2345,0.875,0.06909132,0.037089873,-0.20946908,0.10486322
2007-12-28 00:00:00+00,SHORT,2345,0.75,0.077521026,0.03895184,-0.21607946,0.07867647
2008-01-03 00:00:00+00,SHORT,712,1.0,0.07623101,0.03194103,-0.24305011,0.057135664
2008-01-14 00:00:00+00,SHORT,1176,0.0,0.092893206,0.04117647,-0.21645193,0.038732395
2008-01-31 00:00:00+00,SHORT,1410,0.5636577210078834,0.1070013,0.054344144,-0.20887473,0.046540316
2008-02-04 00:00:00+00,SHORT,487,1.0,0.035558317,0.04509035,-0.24175312,-0.013040328
2008-02-04 00:00:00+00,SHORT,652,1.0,0.058622845,0.056781195,-0.23754282,0.0100241965
2008-02-04 00:00:00+00,SHORT,1220,0.5119059884805149,0.09674998,0.03862539,-0.20123313,0.048151333
2008-02-05 00:00:00+00,SHORT,487,0.8333333333333334,0.053620193,0.054122142,-0.22789988,0.0028099173
2008-02-05 00:00:00+00,SHORT,2866,0.9285714285714286,0.085103825,0.04940849,-0.20973599,0.03429355
2008-02-05 00:00:00+00,SHORT,1236,0.0,0.082336426,0.04830097,-0.21550842,0.031526152
2008-02-12 00:00:00+00,SHORT,2323,1.0,0.104532324,0.048071217,-0.2385806,0.06771463
2008-02-12 00:00:00+00,SHORT,3556,0.0,0.06316329,0.031953596,-0.22124352,0.026345596
2008-02-13 00:00:00+00,SHORT,2323,0.9333333333333333,0.03939405,0.03650509,-0.21418715,0.004640371
2008-02-26 00:00:00+00,SHORT,1770,0.19689720729199395,0.063236386,0.047295142,-0.20637164,0.10322436
2008-02-27 00:00:00+00,SHORT,2932,0.3590153760398105,0.11421306,0.037083127,-0.21848567,0.13624795
2008-02-27 00:00:00+00,SHORT,934,0.6186473491437734,0.005337829,0.040953863,-0.20713362,0.027372729
2008-02-27 00:00:00+00,SHORT,3614,0.35451777916139626,0.09989133,0.0518732,-0.20656556,0.12192623
2008-02-28 00:00:00+00,SHORT,2055,0.3814557657307665,0.087769724,0.055753097,-0.22576477,0.094833225
