time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-12-08 00:00:00+00,LONG,1817,0.0,0.0,0.08105938
2005-12-09 00:00:00+00,LONG,3283,0.0,0.0,0.049791884
2005-12-12 00:00:00+00,LONG,3283,0.0,0.0,0.028952941
2005-12-19 00:00:00+00,LONG,1195,1.0,0.0,0.02382155
2005-12-27 00:00:00+00,LONG,2067,0.0,0.0,0.05260478
2005-12-27 00:00:00+00,LONG,424,1.0,0.0,0.0530898
2005-12-27 00:00:00+00,LONG,1288,0.6719795367895011,0.0,0.017712802
2005-12-28 00:00:00+00,LONG,2067,0.0,0.0,0.047963955
2005-12-28 00:00:00+00,LONG,424,0.9615384615384616,0.0,0.021073109
2005-12-29 00:00:00+00,LONG,2067,0.0,0.0,0.024396079
2005-12-30 00:00:00+00,LONG,2067,0.0,0.0,0.02759156
2005-12-30 00:00:00+00,LONG,424,0.8846153846153846,0.0,0.026802845
2006-01-03 00:00:00+00,LONG,2067,0.0,0.0,0.06924476
2006-01-04 00:00:00+00,LONG,2067,0.0,0.0,0.038956143
2006-01-05 00:00:00+00,LONG,2067,0.0,0.0,0.028053014
2006-01-10 00:00:00+00,LONG,234,1.0,0.0,0.03792047
2006-01-13 00:00:00+00,LONG,3539,1.0,0.0,0.02461831
2006-01-18 00:00:00+00,LONG,157,0.6104018359654962,0.0,0.032003075
2006-01-19 00:00:00+00,LONG,157,0.5181099795165645,0.0,0.02476856
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,0.0,0.040759884
2006-01-20 00:00:00+00,LONG,2728,1.0,0.0,0.02311804
2006-01-23 00:00:00+00,LONG,157,0.6241627460736752,0.0,0.017350957
2006-01-23 00:00:00+00,LONG,2728,0.9787234042553191,0.0,0.017446026
2006-01-23 00:00:00+00,LONG,836,0.34898608536698494,0.0,0.020529857
2006-01-23 00:00:00+00,LONG,1250,0.0,0.0,0.02265001
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,0.0,0.028557934
2006-01-27 00:00:00+00,LONG,2085,0.0,0.0,0.110339254
2006-01-30 00:00:00+00,LONG,2085,0.0,0.0,0.053825475
2006-01-31 00:00:00+00,LONG,2085,0.0,0.0,0.04770968
2006-01-31 00:00:00+00,LONG,610,0.0,0.0,0.026639285
2006-01-31 00:00:00+00,LONG,2659,0.23080962449648249,0.0,0.019826395
2006-01-31 00:00:00+00,LONG,1667,0.0,0.0,0.016877929
2006-02-01 00:00:00+00,LONG,2085,0.0,0.0,0.026391283
2006-02-01 00:00:00+00,LONG,610,0.9772727272727273,0.0,0.015817767
2006-02-01 00:00:00+00,LONG,2042,1.0,0.0,0.018444529
2006-02-02 00:00:00+00,LONG,2085,0.0,0.0,0.025710443
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,0.0,0.08270573
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,0.0,0.07383532
2006-02-06 00:00:00+00,LONG,237,1.0,0.0,0.022297088
2006-02-06 00:00:00+00,LONG,502,0.658658995715596,0.0,0.016059035
2006-02-07 00:00:00+00,LONG,76,0.0,0.0,0.051786605
2006-02-08 00:00:00+00,LONG,76,0.0,0.0,0.018423783
2006-02-21 00:00:00+00,LONG,643,0.0,0.0,0.020550467
2006-02-21 00:00:00+00,LONG,3447,1.0,0.0,0.070948996
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,0.0,0.034499075
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,0.0,0.021599544
2006-02-28 00:00:00+00,LONG,4016,1.0,0.0,0.021621179
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,0.0,0.016213994
2006-03-09 00:00:00+00,LONG,4123,0.6857781721516761,0.0,0.017280161
2006-03-10 00:00:00+00,LONG,2619,0.5222650583543641,0.0,0.022079581
2006-03-16 00:00:00+00,LONG,663,0.5883581038764415,0.0,0.029323902
2006-03-17 00:00:00+00,LONG,2518,0.9302325581395349,0.0,0.014947347
2006-03-17 00:00:00+00,LONG,663,0.513660129180017,0.0,0.018038224
2006-03-27 00:00:00+00,LONG,3241,0.0,0.0,0.14512883
2006-03-28 00:00:00+00,LONG,3241,0.0,0.0,0.13332023
2006-03-29 00:00:00+00,LONG,3241,0.0,0.0,0.108330086
2006-03-30 00:00:00+00,LONG,3241,0.0,0.0,0.08195832
2006-03-31 00:00:00+00,LONG,3241,0.0,0.0,0.044525012
2006-04-03 00:00:00+00,LONG,101,0.20587101849136327,0.0,0.014977108
2006-04-03 00:00:00+00,LONG,3241,0.0,0.0,0.02366143
2006-04-18 00:00:00+00,LONG,3466,0.0,0.0,0.13639618
2006-04-19 00:00:00+00,LONG,3466,0.0,0.0,0.0532524
2006-04-21 00:00:00+00,LONG,1615,0.0,0.0,0.13133748
2006-04-24 00:00:00+00,LONG,1615,0.0,0.0,0.12191178
2006-04-25 00:00:00+00,LONG,1615,0.0,0.0,0.114190154
2006-04-26 00:00:00+00,LONG,1615,0.0,0.0,0.08344917
2006-04-27 00:00:00+00,LONG,1615,0.0,0.0,0.082077116
2006-04-28 00:00:00+00,LONG,559,0.0,0.0,0.14450717
2006-04-28 00:00:00+00,LONG,1615,0.0,0.0,0.044484653
