time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2007-03-23 00:00:00+00,SHORT,3824,0.9,0.39430958,1.4016964,0.9464286,0.0095
2007-03-26 00:00:00+00,SHORT,2462,0.5808266029088524,0.42029718,1.8156385,0.1,0.0098
2007-03-26 00:00:00+00,SHORT,443,0.5502505032026391,0.41652495,1.2681618,0.5416667,0.0095
2007-03-26 00:00:00+00,SHORT,714,0.2659362680213013,0.37796417,2.002686,0.8541667,0.0102
2007-03-27 00:00:00+00,SHORT,2330,0.42742589774739825,0.44041365,-0.075269535,0.4347826,0.0124
2007-03-27 00:00:00+00,SHORT,443,0.3807940831296523,0.3483794,-0.00168085,0.5652174,0.0095
2007-03-27 00:00:00+00,SHORT,578,0.10025683850545536,0.40089118,0.3927069,0.90909094,0.0099
2007-03-27 00:00:00+00,SHORT,3903,0.4818075584405576,0.4074939,0.42173022,0.42857143,0.0096
2007-04-17 00:00:00+00,SHORT,4164,0.30535365642270546,0.34480605,-0.08250809,0.8666667,0.0095
2007-04-17 00:00:00+00,SHORT,843,0.23899364872636666,0.44765463,0.3318613,0.50666666,0.0127
2007-04-17 00:00:00+00,SHORT,3815,0.2109469135049214,0.4230141,0.41157094,0.15,0.0094
2007-04-18 00:00:00+00,SHORT,1250,0.320705419231514,0.38370243,0.94463414,0.5675676,0.0089
2007-04-20 00:00:00+00,SHORT,1904,0.0,0.40278348,0.29470056,0.42857143,0.013
2007-04-23 00:00:00+00,SHORT,2159,0.30579113248919904,0.34371892,0.11525227,0.13793103,0.0094
2007-04-23 00:00:00+00,SHORT,335,0.35557243524062715,0.39067736,0.26089644,0.65957445,0.0098
2007-04-24 00:00:00+00,SHORT,335,0.34864204218827866,0.40652132,0.3572347,0.5952381,0.0098
2007-04-25 00:00:00+00,SHORT,730,0.0,0.35861406,-8.710803E-4,0.3090909,0.0099
