time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-04-12 00:00:00+00,SHORT,759,0.49871720866158376,0.1853153,-0.013535713,0.26046026,0.25147367
2005-04-12 00:00:00+00,SHORT,3098,0.0,0.551501,-0.015885303,0.7097446,0.19463131
2005-04-12 00:00:00+00,SHORT,3100,0.0,0.55336803,-0.019655496,0.5911371,0.5533276
2005-04-12 00:00:00+00,SHORT,1184,0.2903084302496058,0.46807837,-0.022442702,0.46319366,0.12422938
2005-04-12 00:00:00+00,SHORT,1250,0.0,0.26101762,-0.018685263,0.5123821,-0.36139408
2005-04-12 00:00:00+00,SHORT,1306,0.29191918112591086,0.59921205,-0.013395837,0.4461218,-0.3717372
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,0.49193123,-0.004371628,-0.19812843,0.9713175
2005-04-12 00:00:00+00,SHORT,1710,0.5279492928089448,0.21496427,-0.0152456155,0.6484121,0.042915776
2005-04-13 00:00:00+00,SHORT,4122,0.46106578265051873,0.42660567,-0.021306278,0.2610743,-0.17012513
2005-04-13 00:00:00+00,SHORT,759,0.25375036257773487,0.17878348,-0.02364464,0.786722,0.023044499
2005-04-13 00:00:00+00,SHORT,2972,0.082235309829162,0.5058904,-0.019816007,-0.17219716,0.15429325
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.31695044,-0.0022610065,0.23373565,0.37946755
2005-04-13 00:00:00+00,SHORT,1308,0.18496058659067982,0.50135994,-0.017080255,0.13752456,-0.02254234
2005-04-14 00:00:00+00,SHORT,2175,0.35856465286216377,0.43393436,-0.023054618,0.67852026,-0.066768415
2005-04-14 00:00:00+00,SHORT,195,0.0,0.17022817,-0.012543335,0.26613584,0.3608161
2005-04-14 00:00:00+00,SHORT,780,0.9285714285714286,0.5213501,-0.021796457,-0.0321764,1.3563273
2005-04-14 00:00:00+00,SHORT,3098,0.0,0.56074244,-0.024827026,0.61559325,-0.10564614
2005-04-15 00:00:00+00,SHORT,195,0.0,0.16805208,-0.01014606,0.38801375,-0.10847812
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,0.36201552,-9.878785E-4,0.37584442,0.8586953
2005-04-19 00:00:00+00,SHORT,3890,0.23913707021027214,0.35870877,-0.025668368,0.39765677,0.71685493
2005-04-21 00:00:00+00,SHORT,195,0.0,0.15380187,-0.022422766,0.2196726,-0.13459204
2005-04-21 00:00:00+00,SHORT,2425,0.0,0.34749964,-0.02570931,0.09419224,-0.215415
2005-04-25 00:00:00+00,SHORT,1770,0.2367832737857284,0.58691394,-0.025069417,0.5283037,-0.26087177
2005-04-26 00:00:00+00,SHORT,1185,0.0,0.16672234,-0.021587769,-0.025977287,1.8065314
2005-04-27 00:00:00+00,SHORT,1185,0.25211211236786213,0.1740562,-0.020386936,0.016621262,0.8251431
2005-04-29 00:00:00+00,SHORT,4224,0.8421052631578947,0.09930664,-0.024626365,0.6678507,-0.37959185
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,0.48265442,-0.011824314,0.04514837,1.4247261
2005-05-03 00:00:00+00,SHORT,3561,0.29887809047982294,0.4900632,-0.016977856,0.20112325,-0.021277813
2005-05-04 00:00:00+00,SHORT,4136,0.8333333333333334,0.32905614,-0.008610765,-0.039087947,-0.12095727
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,0.47846708,-0.008750381,-0.16298574,0.2116265
2005-05-04 00:00:00+00,SHORT,3641,0.14782019494640547,0.14940053,-0.020868516,0.04254845,0.07562129
2005-05-05 00:00:00+00,SHORT,4136,0.625,0.29741174,-0.022477318,0.20677966,-0.117081895
2005-05-05 00:00:00+00,SHORT,405,0.507199996588221,0.5331227,-0.016639523,0.16928914,1.6684421
2005-05-05 00:00:00+00,SHORT,3065,0.469035887435303,0.31154954,-0.022339828,-0.20740615,-0.38454074
2005-05-05 00:00:00+00,SHORT,1022,0.0,0.49366724,-0.0041477266,0.7139221,0.03336915
2005-05-06 00:00:00+00,SHORT,405,0.4900515406722923,0.5784863,-0.020394707,-0.1790418,0.6928231
2005-05-06 00:00:00+00,SHORT,576,0.04898026955870653,0.2144745,-0.02018019,0.1403547,0.12603024
