time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-25 00:00:00+00,LONG,323,1.0,-0.063751005,0.034282327,0.0
2005-01-25 00:00:00+00,LONG,2430,0.40621774574656744,-0.020063028,0.006284676,0.0
2005-01-25 00:00:00+00,LONG,465,0.35697021778472876,-0.021273192,-0.022563566,0.0
2005-01-25 00:00:00+00,LONG,2567,0.0,-0.06169571,0.025764683,0.0
2005-01-25 00:00:00+00,LONG,2681,0.5121395462962478,-0.05725265,-0.0024866692,0.0
2005-01-25 00:00:00+00,LONG,2686,1.0,-0.07626762,0.016961938,0.0
2005-01-25 00:00:00+00,LONG,2751,0.0,-0.019476013,-0.018338088,0.0
2005-01-25 00:00:00+00,LONG,2778,0.4241372185236294,-0.044743538,-0.0029710056,0.0
2005-01-25 00:00:00+00,LONG,730,0.41285461167947496,-0.034567676,-0.022585688,0.0
2005-01-25 00:00:00+00,LONG,2990,0.975,-0.048916455,-0.0029516465,0.0
2005-01-25 00:00:00+00,LONG,988,0.9655172413793104,-0.045838,-0.014976052,0.0
2005-01-25 00:00:00+00,LONG,3109,0.8846153846153846,-0.017517552,0.0026091288,0.0
2005-01-25 00:00:00+00,LONG,1076,0.9615384615384616,-0.021583244,-5.5659097E-4,0.0
2005-01-25 00:00:00+00,LONG,3330,0.09181160378325023,-0.013536164,-0.013257328,0.0
2005-01-25 00:00:00+00,LONG,1330,0.0,-0.018999046,-0.014532972,0.0
2005-01-25 00:00:00+00,LONG,1454,0.0,-0.07808237,-0.0146887945,0.0
2005-01-25 00:00:00+00,LONG,3513,0.0,-0.032711383,-0.028265197,0.0
2005-01-25 00:00:00+00,LONG,1585,0.4518163462558773,-0.040455494,-0.0035492084,0.0
2005-01-25 00:00:00+00,LONG,1667,0.26289468945933714,-0.027958052,-0.02793895,0.0
2005-01-25 00:00:00+00,LONG,3716,0.20080469499475892,-0.028755166,-0.005703022,0.0
2005-01-25 00:00:00+00,LONG,3802,0.37337933157379277,-0.02659601,-0.015489074,0.0
2005-01-25 00:00:00+00,LONG,3815,0.8048780487804879,-0.045807686,-0.019204158,0.0
2005-01-25 00:00:00+00,LONG,3824,0.7954192807933301,-0.034190528,-0.019387765,0.0
2005-01-25 00:00:00+00,LONG,3831,0.3391463249397784,-0.01398536,-0.029584484,0.0
2005-01-25 00:00:00+00,LONG,3841,0.0,-0.010581657,-0.018800715,0.0
2005-01-25 00:00:00+00,LONG,3855,0.39780109835344246,-0.02515634,0.007909778,0.0
2005-01-25 00:00:00+00,LONG,3868,0.0,-0.013531919,-0.027248712,0.0
2005-01-25 00:00:00+00,LONG,1966,1.0,-0.06719099,0.004283898,0.0
2005-01-25 00:00:00+00,LONG,4049,0.48227459053458716,-0.06476283,-0.010316592,0.0
2005-01-26 00:00:00+00,LONG,1,0.0,-0.053194832,-0.018267674,0.0
2005-01-26 00:00:00+00,LONG,183,0.0,-0.05116582,-0.03246586,0.0
2005-01-26 00:00:00+00,LONG,2253,0.6696304767646749,-0.048495185,-0.016240751,0.0
2005-01-26 00:00:00+00,LONG,270,0.19981887406609636,-0.0484156,-0.027433917,0.0
2005-01-26 00:00:00+00,LONG,323,0.0,-0.071156114,0.017214876,0.0
2005-01-26 00:00:00+00,LONG,2430,0.4002844101139866,-0.022453383,-0.0059321313,0.0
2005-01-26 00:00:00+00,LONG,2567,0.0,-0.06828845,0.012663276,0.0
2005-01-26 00:00:00+00,LONG,2681,0.47694718647866663,-0.057913247,-0.01363419,0.0
2005-01-26 00:00:00+00,LONG,2751,0.0,-0.016392281,-0.027169455,0.0
2005-01-26 00:00:00+00,LONG,2778,0.3789137703301416,-0.04290388,-0.016236136,0.0
2005-01-26 00:00:00+00,LONG,730,0.4133321801286727,-0.038209032,-0.0244674,0.0
2005-01-26 00:00:00+00,LONG,2990,0.40099745041259627,-0.04762663,-0.023121828,0.0
2005-01-26 00:00:00+00,LONG,2999,0.0,-0.024333179,-0.02190172,0.0
2005-01-26 00:00:00+00,LONG,3109,0.23414856769821374,-0.01891362,-0.016869858,0.0
2005-01-26 00:00:00+00,LONG,1076,0.5826213873270367,-0.021275578,-0.011599163,0.0
2005-01-26 00:00:00+00,LONG,3203,0.38212858047725085,-0.015520488,-0.026194625,0.0
2005-01-26 00:00:00+00,LONG,3330,0.03639955800320369,-0.01472125,-0.02754318,0.0
2005-01-26 00:00:00+00,LONG,1330,0.0,-0.021668846,-0.03048371,0.0
